system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.2403846153846154,85.00251954048872,84.96687036924638,87.00297822674307,86.98377572358228
aya_owsm4.0-ctc,-0.4807692307692308,84.00139702369387,83.8322802698956,86.41664776951075,86.34857952308195
aya_seamlessm4t,-0.4807692307692308,84.42416686310361,84.2067987005083,86.5770773532299,86.51060037171612
aya_whisper,-0.9615384615384616,88.35005120861416,87.63776709755453,89.91528554067301,89.38580523245037
canary-v2,-1.6826923076923077,79.34285683295904,78.52527774580253,83.78449594601989,82.90001165766554
desta2-8b,-0.4807692307692308,74.90013740222471,74.74891983155305,71.89024212376142,71.6580741841776
gemma_canary-v2,-0.9615384615384616,85.2579700009754,84.63767451535051,87.08536544313225,86.65186116973368
gemma_owsm4.0-ctc,-0.7211538461538461,83.33812620537356,82.96063342450473,85.64896894206939,85.48951970789437
gemma_seamlessm4t,-0.7211538461538461,84.39412806304888,84.11918995651202,86.20660178220044,85.7738613580855
gemma_whisper,-1.201923076923077,88.4353737118654,87.63229455379769,89.49627032181104,88.94441041808861
owsm4.0-ctc,-0.4807692307692308,61.638779144555045,61.53660268003408,72.11638927423897,71.97400579909579
phi4multimodal,-31.25,68.05487426069493,60.08302465066887,89.17437590157184,61.85629802684372
qwen2audio-7b,-2.8846153846153846,76.45863406367313,75.2318072766782,80.75942249897008,78.62805772680215
seamlessm4t,-2.8846153846153846,76.7995296812688,75.62703346790602,82.87692187318149,80.40882894733491
spirelm,-0.4807692307692308,72.30761158466339,71.98333416535304,71.99837143998593,71.88692338442286
tower_canary-v2,-0.4807692307692308,85.2399308881006,85.02800581249623,87.34403797067128,87.1358384234974
tower_owsm4.0-ctc,-0.4807692307692308,82.82908775438912,82.66945301752108,85.65952458705468,85.56905936879608
tower_seamlessm4t,-0.7211538461538461,84.39552042006443,84.11205298055967,86.27143489877479,86.18641705789531
tower_whisper,-0.9615384615384616,88.5181423330393,87.82076684292406,90.19009950033461,89.67553694696667
voxtral-small-24b,-0.4807692307692308,89.58995903415892,89.234550173072,91.04177004908426,90.67800470735304
