system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.4807692307692308,77.16922120617416,76.69618811612375,73.73825534640883,73.25748611563961
aya_owsm4.0-ctc,-0.7211538461538461,75.48715707785092,74.97236537714846,71.05442116108651,70.54997468367219
aya_seamlessm4t,-0.4807692307692308,76.1515393433376,75.6785062532872,70.43538697851966,69.95461774775042
aya_whisper,-0.7211538461538461,81.44862108774339,80.81764981075405,78.0157666742945,77.50798197857176
canary-v2,-1.4423076923076923,71.7332423528155,71.15584319869343,69.88135813914525,69.21235637990041
desta2-8b,-0.4807692307692308,66.30915130556633,65.83611821551592,53.1320916614137,52.65132243064448
gemma_canary-v2,-0.4807692307692308,77.5895533147268,77.11652022467639,73.56066166136699,73.07989243059777
gemma_owsm4.0-ctc,-0.7211538461538461,75.56861949808751,75.05382779738508,70.83558556444657,70.33113908703224
gemma_seamlessm4t,-0.4807692307692308,76.93767259785761,76.46463950780722,71.45813201160098,70.97736278083175
gemma_whisper,-0.9615384615384616,81.7869161273926,80.97195259750319,77.43128626428259,76.72862795074113
owsm4.0-ctc,-1.4423076923076923,45.44522635233947,44.697087043144094,39.454742320007284,38.785045686661476
phi4multimodal,-55.769230769230774,47.24839644048076,34.00142806338576,82.64255418191449,33.28929435855781
qwen2audio-7b,-3.8461538461538463,69.03901499567124,67.20060577243567,64.44381072651595,61.43867496508532
seamlessm4t,-1.9230769230769231,69.73471063676362,69.13334106324385,67.66028690975733,66.5893013230883
spirelm,-0.7211538461538461,62.65602510293516,62.25402674924295,52.40346215745936,52.2939183395535
tower_canary-v2,-0.4807692307692308,76.34752194508194,75.87448885503153,72.35499641750582,71.87422718673659
tower_owsm4.0-ctc,-0.7211538461538461,73.95629453354587,73.44150283284341,70.42528553328549,69.92083905587117
tower_seamlessm4t,-0.7211538461538461,76.36349019279274,75.6851383652538,70.74697016953276,70.09064809490854
tower_whisper,-0.7211538461538461,81.10206548450515,80.47109420751579,77.03898744120335,76.53120274548061
voxtral-small-24b,-0.7211538461538461,83.1094333728274,82.44191678251642,81.0472067194776,80.3426122185416
