system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.4807692307692308,75.04478446200777,74.87231185208432,79.24646996857169,79.04624716163828
aya_owsm4.0-ctc,-0.4807692307692308,73.17044225256316,72.93878027259444,78.0620228472309,77.8690608872029
aya_seamlessm4t,-0.2403846153846154,73.79738973776023,73.61534644670498,77.64763508278591,77.45457987945812
aya_whisper,-0.4807692307692308,79.80706648421116,79.45038124467604,82.7770661867152,82.56931299021323
canary-v2,-0.7211538461538461,71.68526722240047,71.3952784432958,77.62225163706506,77.37107255066243
desta2-8b,-0.2403846153846154,61.605029788441385,61.37626474092786,62.11101820226759,61.87066634078152
gemma_canary-v2,-0.0,75.4927452574126,75.4927452574126,79.44807543938694,79.44807543938694
gemma_owsm4.0-ctc,-0.7211538461538461,72.8501652923341,72.32781521603465,78.41255774188679,77.9279684802392
gemma_seamlessm4t,-0.7211538461538461,73.75306306141786,73.32935486554813,78.46780245980392,78.1794232244675
gemma_whisper,-0.7211538461538461,79.70775879554164,79.10216226006071,82.99010418749486,82.7049786887633
owsm4.0-ctc,-7.451923076923077,47.12280786983096,45.124723265090815,54.58536994679329,52.488483683779265
phi4multimodal,-19.71153846153846,65.48486611956301,59.8501027434921,81.42208827193826,64.64851719792932
qwen2audio-7b,-1.9230769230769231,66.90963288289137,66.03295810241252,71.71690030339121,70.9489602910113
seamlessm4t,-5.048076923076923,66.017648605988,64.1972172910061,73.60296378274842,70.7476856867568
spirelm,-0.2403846153846154,57.63893379614903,57.5164450773826,61.75106489547313,61.69535580467289
tower_canary-v2,-0.7211538461538461,74.4025591098202,74.10377006254231,78.78979482831289,78.47448624849605
tower_owsm4.0-ctc,-0.4807692307692308,71.77779149156638,71.54861702433286,76.68143291420375,76.4852295217749
tower_seamlessm4t,-0.4807692307692308,73.41685722001756,73.26897526281671,77.25898738628109,77.08726657661967
tower_whisper,-0.4807692307692308,79.52015585086953,79.16037837738315,83.02723479170638,82.807182893157
voxtral-small-24b,-0.4807692307692308,81.1889231804615,80.79956856635042,84.48905280719583,84.07313934742258
