system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.4807692307692308,85.23979519400746,84.94821864345039,76.09459182534081,76.00552118025146
aya_owsm4.0-ctc,-0.7211538461538461,84.4106592935725,83.87022001797763,75.2712396833186,75.09499161790771
aya_seamlessm4t,-0.7211538461538461,84.69639053389143,84.21475402344592,75.0500296582826,74.92534756624642
aya_whisper,-0.0,87.23762602394876,87.23762602394876,80.00244801290907,80.00244801290907
canary-v2,-100.0,24.707539205367752,0.0,86.61707853540204,0.0
desta2-8b,-20.432692307692307,69.36759142735256,61.45463140924963,51.980539097880516,48.02106546882827
gemma_canary-v2,-0.0,85.48529902566224,85.48529902566224,76.24944484291169,76.24944484291169
gemma_owsm4.0-ctc,-0.2403846153846154,84.0634811011931,83.8577223874342,75.4569453545488,75.41629423100787
gemma_seamlessm4t,-0.0,84.71101980341169,84.71101980341169,76.06659398342555,76.06659398342555
gemma_whisper,-0.0,86.92928906530142,86.92928906530142,79.8623441503598,79.8623441503598
owsm4.0-ctc,-0.0,72.60558294175337,72.60558294175337,62.87479177475549,62.87479177475549
phi4multimodal,-18.269230769230766,75.75995414797217,69.74272870136281,80.5499643409768,65.41419320811445
qwen2audio-7b,-1.4423076923076923,81.05322850524233,80.47456393190302,71.44166203036619,70.62763775018259
seamlessm4t,-7.451923076923077,75.22930551549564,72.31804751948668,70.81057130932234,64.9133996070864
spirelm,-0.0,75.59507711604238,75.59507711604238,56.545596994244704,56.545596994244704
tower_canary-v2,-0.2403846153846154,85.40182874559497,85.29989176336676,76.5100393211469,76.37419514895345
tower_owsm4.0-ctc,-0.0,83.2884766204426,83.2884766204426,74.27496157156733,74.27496157156733
tower_seamlessm4t,-0.0,84.18590737427942,84.18590737427942,75.20961791205292,75.20961791205292
tower_whisper,-0.0,86.94879088615282,86.94879088615282,79.01242892974271,79.01242892974271
voxtral-small-24b,-0.0,87.78638803851433,87.78638803851433,80.58158131674506,80.58158131674506
