system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-2.56,-2.13
aya_owsm4.0-ctc,both,-3.67,-2.2
aya_seamlessm4t,left_only,,
aya_whisper,both,2.66,2.8
canary-v2,both,10.92,6.79
desta2-8b,both,78.61,89.87
gemma_canary-v2,both,-0.6,-0.71
gemma_owsm4.0-ctc,both,-2.05,-1.15
gemma_seamlessm4t,left_only,,
gemma_whisper,both,3.5,3.62
owsm4.0-ctc,both,0.39,2.58
phi4multimodal,both,1.36,1.56
qwen2audio-7b,both,94.85,94.6
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,-0.11,0.46
tower_owsm4.0-ctc,both,-3.11,-0.94
tower_seamlessm4t,left_only,,
tower_whisper,both,4.77,5.18
voxtral-small-24b,both,-0.09,0.46
