system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,250.0,93.41,93.19,99.03,99.03
aya_owsm4.0-ctc,both,333.33,92.35,91.96,99.06,99.07
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,633.33,92.7,92.05,99.12,99.13
canary-v2,both,383.33,87.9,87.14,99.08,99.1
desta2-8b,both,15100.0,78.17,66.89,99.68,99.91
gemma_canary-v2,both,300.0,93.75,93.41,98.97,98.97
gemma_owsm4.0-ctc,both,233.33,93.64,93.36,98.94,98.93
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,both,250.0,93.64,93.3,99.03,99.02
owsm4.0-ctc,both,2483.33,65.59,60.1,98.9,99.38
phi4multimodal,both,117.24,83.89,74.84,99.22,98.12
qwen2audio-7b,both,2287.5,77.14,63.62,99.72,99.95
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,200.0,93.1,92.9,98.98,98.98
tower_owsm4.0-ctc,both,166.67,92.25,92.03,98.99,98.99
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,233.33,92.74,92.51,99.05,99.04
voxtral-small-24b,both,166.67,95.01,94.83,99.01,99.0
