system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-4.68,-2.04
aya_owsm4.0-ctc,both,-4.14,0.82
aya_seamlessm4t,left_only,,
aya_whisper,both,2.01,1.91
canary-v2,both,14.34,11.81
desta2-8b,both,97.29,95.21
gemma_canary-v2,both,-3.03,-2.41
gemma_owsm4.0-ctc,both,-2.69,1.37
gemma_seamlessm4t,left_only,,
gemma_whisper,both,4.35,4.29
owsm4.0-ctc,both,60.49,60.91
phi4multimodal,both,6.98,7.18
qwen2audio-7b,both,94.98,94.22
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,-3.62,-2.05
tower_owsm4.0-ctc,both,-4.5,-1.59
tower_seamlessm4t,left_only,,
tower_whisper,both,5.19,4.76
voxtral-small-24b,both,-1.62,-1.43
