system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.41,-0.21
aya_owsm4.0-ctc,both,-0.51,2.64
aya_seamlessm4t,left_only,,
aya_whisper,both,2.35,3.91
canary-v2,both,,
desta2-8b,both,98.11,98.63
gemma_canary-v2,both,-0.39,-1.12
gemma_owsm4.0-ctc,both,2.69,5.95
gemma_seamlessm4t,left_only,,
gemma_whisper,both,3.82,7.35
owsm4.0-ctc,both,2.2,6.28
phi4multimodal,both,46.13,54.63
qwen2audio-7b,both,92.92,93.21
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,0.6,0.95
tower_owsm4.0-ctc,both,0.49,2.25
tower_seamlessm4t,left_only,,
tower_whisper,both,3.51,5.19
voxtral-small-24b,both,0.36,1.7
