system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,AUSTRALIAN ENGLISH,3.0,1.9749006889760494,2.5990428970754147,0.9700168538093566,0.9415781015157699
aya_canary-v2,CANADIAN ENGLISH,4.0,3.1414478765428067,3.9875224135816096,0.9277033725380898,0.8915598264336586
aya_canary-v2,ENGLAND ENGLISH,5.0,3.327688020989299,4.327414473816752,0.9154695037007332,0.8762010821700096
aya_canary-v2,FILIPINO,3.0,2.5705706457793713,3.2269840697944163,0.9222233022749424,0.8957814247906208
aya_canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,2.1101104955375196,2.1101104955375196,0.9532056695222855,0.9532056695222855
aya_canary-v2,HONG KONG ENGLISH,6.0,3.089852335602045,4.387951515465975,0.9146151277422905,0.8587218788266182
aya_canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,2.0,3.5657524295151233,4.02785778477788,0.9129756154119968,0.8988456679880619
aya_canary-v2,IRISH ENGLISH,8.0,2.566663472354412,4.3416575554013255,0.9426596392691136,0.8687480379641056
aya_canary-v2,MALAYSIAN ENGLISH,2.0,3.609781708270311,4.052060353904962,0.9071441566944123,0.8872093033790588
aya_canary-v2,NEW ZEALAND ENGLISH,1.0,2.5574961760640145,2.7595036414265635,0.9430801725387573,0.933962442278862
aya_canary-v2,SCOTTISH ENGLISH,4.0,2.315485806316137,3.268097339719534,0.9511513638496399,0.9128265166282654
aya_canary-v2,SINGAPOREAN ENGLISH,3.0,2.7761781983077527,3.4154372338950636,0.9452599129080772,0.9178088298439979
aya_canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,3.0,1.9076544424891473,2.4623170229792595,0.9477425876259804,0.9257424849271775
aya_canary-v2,UNITED STATES ENGLISH,5.0,2.9891173803061246,4.103788200095296,0.9082062424905598,0.866289996970445
aya_owsm4.0-ctc,AUSTRALIAN ENGLISH,3.0,2.965691386014223,3.484927249699831,0.9413644808530808,0.9156475305557251
aya_owsm4.0-ctc,CANADIAN ENGLISH,4.0,3.9233883379399774,4.655402341932058,0.9040409237146377,0.873506475687027
aya_owsm4.0-ctc,ENGLAND ENGLISH,6.0,3.838206794783473,5.08526409201324,0.8847656172513961,0.8377392834424973
aya_owsm4.0-ctc,FILIPINO,4.0,2.9528411544859408,3.6369072546064856,0.91617979362607,0.8848486687242985
aya_owsm4.0-ctc,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,2.4366674937307833,2.4366674937307833,0.9394605973362923,0.9394605973362923
aya_owsm4.0-ctc,HONG KONG ENGLISH,4.0,3.639355850368738,4.485306811481714,0.9046069002151489,0.8664206272363663
aya_owsm4.0-ctc,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,2.0,4.575856447964907,4.973167477399111,0.8611078256368637,0.8473530638217927
aya_owsm4.0-ctc,IRISH ENGLISH,8.0,3.5017613415420055,5.2941711823642255,0.914933445751667,0.8428584411740303
aya_owsm4.0-ctc,MALAYSIAN ENGLISH,3.0,4.537431843429804,5.012042632848025,0.8776628756523133,0.8541140109300613
aya_owsm4.0-ctc,NEW ZEALAND ENGLISH,1.0,2.922688860297203,3.0015151542425156,0.9182752576470375,0.9156816902756691
aya_owsm4.0-ctc,SCOTTISH ENGLISH,5.0,2.7375842252373697,3.8066364786028863,0.9305795370042325,0.8852155135571956
aya_owsm4.0-ctc,SINGAPOREAN ENGLISH,3.0,3.342492543011904,3.9218489845097064,0.9124506243318319,0.8876867320388555
aya_owsm4.0-ctc,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,2.0,3.261429818421602,3.65618889644742,0.9046884009242058,0.8874713060259819
aya_owsm4.0-ctc,UNITED STATES ENGLISH,8.0,3.8164593467116354,5.3229575674235825,0.878947045430541,0.8241919957846403
aya_seamlessm4t,AUSTRALIAN ENGLISH,3.0,1.4932070232927799,2.158671999126673,0.9866091310977936,0.9571639275550843
aya_seamlessm4t,CANADIAN ENGLISH,2.0,2.957662511467934,3.406254207491875,0.9462524423003197,0.926571863591671
aya_seamlessm4t,ENGLAND ENGLISH,4.0,3.562504520043731,4.2731293626874685,0.90646320104599,0.8849119699001312
aya_seamlessm4t,FILIPINO,3.0,1.6073327486217022,2.2562065546214582,0.9698877769708634,0.9421697413921356
aya_seamlessm4t,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,1.7385522662103177,1.7385522662103177,0.9678136187791825,0.9678136187791825
aya_seamlessm4t,HONG KONG ENGLISH,7.000000000000001,1.7484696190059186,3.2742460648715497,0.9753570818901062,0.9098507010936737
aya_seamlessm4t,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,3.0,3.277156354933977,3.684502579718828,0.9072921352088451,0.8946993671357631
aya_seamlessm4t,IRISH ENGLISH,8.0,2.0262611222267153,3.8369434028863907,0.9623363819718361,0.887758070230484
aya_seamlessm4t,MALAYSIAN ENGLISH,3.0,1.8105609779059888,2.4777912794053556,0.9694747573137283,0.939539903998375
aya_seamlessm4t,NEW ZEALAND ENGLISH,2.0,1.8195435056090354,2.2858115127682685,0.9641763687133789,0.9444491291046142
aya_seamlessm4t,SCOTTISH ENGLISH,4.0,1.5722833234071731,2.499111763834953,0.9777451509237289,0.939428967833519
aya_seamlessm4t,SINGAPOREAN ENGLISH,2.0,1.76562859877944,2.2462038226425647,0.9643907630443573,0.9444787633419037
aya_seamlessm4t,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,2.0,1.303171965777874,1.7752966675162316,0.976456088423729,0.9566394060850143
aya_seamlessm4t,UNITED STATES ENGLISH,4.0,2.882095306739211,3.861090009585023,0.9262004862725735,0.8871487383544445
aya_whisper,AUSTRALIAN ENGLISH,3.0,2.582660148590803,3.2321937327086925,0.9499528512358666,0.9208586391806602
aya_whisper,CANADIAN ENGLISH,3.0,3.8788545836508272,4.404876661449671,0.8921124611049891,0.870830794647336
aya_whisper,ENGLAND ENGLISH,5.0,3.6292144652456044,4.781324912831187,0.8981643406301737,0.858644044175744
aya_whisper,FILIPINO,2.0,2.8454938627779485,3.2876936127245426,0.9219755983352661,0.9038258177042008
aya_whisper,GERMAN ENGLISH NON NATIVE SPEAKER,0.0,2.64549805060029,2.64549805060029,0.9341380098462104,0.9341380098462104
aya_whisper,HONG KONG ENGLISH,6.0,3.6610149393975733,4.95423935636878,0.9025573754310607,0.8453593361377716
aya_whisper,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,1.0,4.902782866209745,5.133786098212004,0.8496250613033771,0.840905352383852
aya_whisper,IRISH ENGLISH,9.0,3.105073549747467,5.027331507205963,0.9125523330271244,0.8323701800405979
aya_whisper,MALAYSIAN ENGLISH,3.0,4.453082042187452,4.921361607164145,0.8804044595360756,0.8592020918428898
aya_whisper,NEW ZEALAND ENGLISH,2.0,2.623426685035229,3.0369387164711954,0.9324667599797248,0.9137118235230446
