system,es_en
aya_canary-v2,0.012005460625803339
aya_owsm4.0-ctc,0.0195446311687514
aya_seamlessm4t,0.012839552075732986
aya_whisper,0.008050974899724794
canary-v2,0.01582828843593349
desta2-8b,0.03252328420069856
gemma_canary-v2,0.020351284981897158
gemma_owsm4.0-ctc,0.025595690133738226
gemma_seamlessm4t,0.025131101913542335
gemma_whisper,0.01509759336158887
owsm4.0-ctc,0.020965430799200963
phi4multimodal,0.023523245498448656
qwen2audio-7b,0.01756197819041461
seamlessm4t,0.017082139554558316
spirelm,
tower_canary-v2,0.01584210763243356
tower_owsm4.0-ctc,0.01577886100401572
tower_seamlessm4t,0.01806015315002519
tower_whisper,0.010733895422936268
voxtral-small-24b,0.016457636591723647
whisper,0.032313770717736716
