system,LinguaPy,,,,metricx_qe_score,,,,QEMetricX_24-Strict-linguapy,,,,xcomet_qe_score,,,,XCOMET-QE-Strict-linguapy,,,
,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en
aya canary-v2,0.0,0.0,0.0,8.024224072672217,85.8379349514842,86.66206254695086,84.50378626953895,34.19039069577477,85.8379349514842,86.66206254695086,84.50378626953895,32.500069734727134,0.9152036616578698,0.9253568266262144,0.9173842082679854,0.30015629321274573,0.9152036616578698,0.9253568266262144,0.9173842082679854,0.28346748320133286
aya owsm4.0-ctc,0.625,0.0,0.32573289902280134,0.45420136260408783,84.61536273658275,82.60866695562464,78.58309516533967,76.4992515438213,84.17094641700388,82.60866695562464,78.3868926107301,76.2284585054538,0.8891095836879686,0.8780119011566143,0.8136845610623251,0.7726136867653502,0.8848572341026738,0.8780119011566143,0.8121072609183843,0.7704218764261348
aya seamlessm4t,0.0,0.0,0.0,0.3028009084027252,83.96060170158744,85.46637918765113,82.68187378361482,78.65367497430437,83.96060170158744,85.46637918765113,82.68187378361482,78.45492451088073,0.8699888318311423,0.9065718536808987,0.874801702287764,0.8151506369568289,0.8699888318311423,0.9065718536808987,0.874801702287764,0.8130689240726984
aya whisper,0.0,0.0,0.0,0.1514004542013626,85.79014739245176,85.54722567092652,83.94579298721463,85.17388468466412,85.79014739245176,85.54722567092652,83.94579298721463,85.02890869214804,0.9117276958655566,0.9199178378854022,0.9010894790728629,0.8769034902529226,0.9117276958655566,0.9199178378854022,0.9010894790728629,0.8754399646634771
canary-v2,0.3125,0.0,0.32573289902280134,25.813777441332324,82.67340778261423,82.45899538825822,80.53833042293884,21.464467950340122,82.67340778261423,82.45899538825822,80.35023314323797,17.205035637762407,0.8811936704441905,0.8984569199133239,0.8824132677009906,0.3125144539647337,0.8806211045943201,0.8984569199133239,0.8812862667664643,0.26142069862829065
desta2-8b,0.3125,0.0,0.32573289902280134,0.6056018168054504,80.26311361379922,74.64936712564239,74.66184670296087,77.39408147601266,79.95536089465023,74.64936712564239,74.34371382794085,76.91813674345782,0.7879296717001125,0.7309265792519855,0.7061855168558099,0.7536310271912006,0.7850882702274248,0.7309265792519855,0.7030267582217334,0.7499349733206876
gemma canary-v2,0.3125,0.0,0.32573289902280134,32.626797880393646,85.36521572582424,85.68419986763257,84.12437188508845,23.542008339862406,85.05715978294612,85.68419986763257,83.80623901006841,17.439256136567195,0.9117365700658411,0.9162217129596928,0.9071798660467812,0.2658632261271255,0.9087108969222755,0.9162217129596928,0.9040211074127048,0.20872085777322502
gemma owsm4.0-ctc,0.625,0.0,0.6514657980456027,0.757002271006813,83.49739166535437,81.13045016911207,76.73243425956377,70.587568665751,82.99155814386904,81.13045016911207,76.19941884376327,70.19081663710885,0.8786649714922532,0.8609697384722281,0.7999499963189958,0.7322051020834051,0.8748252748744563,0.8609697384722281,0.7960115722365411,0.7290992836702691
gemma seamlessm4t,0.3125,0.0,0.32573289902280134,1.2112036336109009,83.24773887619376,84.38804645946362,81.99811166893775,76.45826366094818,82.93968293331564,84.38804645946362,81.67829300293317,75.72275612631321,0.8445601962041109,0.8926695701259895,0.8623599151349611,0.7928024523332433,0.8415345230605453,0.8926695701259895,0.8591063325005168,0.7865570960517051
