system,LinguaPy,,,,,metricx_qe_score,,,,,QEMetricX_24-Strict-linguapy,,,,,xcomet_qe_score,,,,,XCOMET-QE-Strict-linguapy,,,,
,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en
whisper,0.5506607929515419,4.84685411846618,4.967986557870644,0.8164784362219635,0.81234648044217,0.3880266075388027,5.170974547080613,5.232784581157955,0.7795831207454436,0.7778923473983772,0.26246719160104987,4.886944559380764,4.944649572369308,0.815546590554563,0.8136854972902193,0.3558718861209964,5.674520684324408,5.739125032830776,0.7564582025272106,0.7551925993929943,0.5701254275940707,5.5994648895973675,5.716273083484295,0.8033307973919872,0.7984348638390281
seamlessm4t,0.5506607929515419,4.248117034294794,4.3681864290773085,0.8461982155432063,0.8421555010864453,0.11086474501108648,4.34225472161947,4.35813235465082,0.8247557678435435,0.8241224198162291,0.08748906386701663,4.523309845506676,4.539605630651338,0.8421496005202477,0.8416746401163641,0.1779359430604982,4.996496724506149,5.0316999863793415,0.8036916341526547,0.8028426498179086,0.26605853287723297,4.370970670639313,4.432811662356512,0.8597222813258195,0.857275568767221
canary-v2,0.7158590308370044,3.7338762862632455,3.8760789801337907,0.8764949686669371,0.871958187293048,0.2771618625277162,3.9187925649422763,3.979304340207524,0.8524864129061313,0.8506567981135422,0.17497812773403326,3.9329082228614904,3.961240554379979,0.8668863130562262,0.8659390552085111,0.3558718861209964,4.262119728272001,4.322535803415597,0.8518630385460731,0.8498582466641355,0.45610034207525657,3.9603822303051643,4.066289469010701,0.8865758446264688,0.8825055828747378
owsm4.0-ctc,2.8083700440528636,10.656999900813998,10.982885866988008,0.4559183654853344,0.44056073682780666,0.8869179600886918,10.122870556002445,10.220755661868733,0.4609998992539451,0.4574966425555727,2.2309711286089238,10.814529269073265,11.005886102233763,0.43776816544252345,0.4336550192828926,1.1269276393831553,10.829865867875224,10.997730862380205,0.4066141782022465,0.39984996662854105,1.1402508551881414,12.88741901459711,13.040599943113527,0.4034115172280491,0.3982557947692542
aya whisper,0.7158590308370044,3.5594144985736205,3.712417100215667,0.8777972678058998,0.8726238777885615,0.1662971175166297,3.624048418371614,3.662805798742301,0.8472542366892628,0.8461649604017811,0.21872265966754156,3.5236641370992023,3.570963478939688,0.8802466358295263,0.8784411798377154,0.41518386714116245,4.086084413729953,4.150982267721551,0.8365670455551197,0.8351370336892235,0.26605853287723297,3.518808439487244,3.5816055267471545,0.885193089556327,0.8826231074560871
gemma whisper,0.6607929515418502,3.6568783358691284,3.8004220924976115,0.8676622861971677,0.8626906565895165,0.11086474501108648,3.8515218591478604,3.8786611346705526,0.8361975454008764,0.8353695303631199,0.13123359580052493,3.6878651671196323,3.7116246994907462,0.8701556051901215,0.8692475218824515,0.41518386714116245,4.2465428123836135,4.312104296924663,0.8249963845169417,0.8235861978240638,0.3800836183960471,3.746470674861071,3.8274012384352147,0.8757169084975313,0.8721149120039471
tower whisper,0.7158590308370044,3.598079010122148,3.7444266331780063,0.8741158458203209,0.8692932313119394,0.1662971175166297,3.6956546106220878,3.7227938861447796,0.8437313491647894,0.842780292009369,0.26246719160104987,3.561303149762116,3.620966455911401,0.8789607485167988,0.8767513547024233,0.5338078291814947,4.119485434323709,4.194744454290219,0.8363202739184367,0.8347419195168807,0.3800836183960471,3.507366073823664,3.5934765297779334,0.8858003957003797,0.8825027888455984
aya seamlessm4t,0.3854625550660793,3.449675350659219,3.5291570846467293,0.8855712805107433,0.8826570363575797,0.22172949002217296,3.564825586346856,3.6028676981771337,0.8615428665012715,0.8602455411593692,0.30621172353455817,3.627417426285833,3.6855663641348597,0.8784725403552508,0.8765543291865899,0.2372479240806643,3.9378362332480656,3.98755202430918,0.8582311656576286,0.8565457278217962,0.45610034207525657,3.419860028248692,3.506636607742092,0.8958001977447966,0.8922739342762656
gemma seamlessm4t,0.3854625550660793,3.5582841174914974,3.6413424467003295,0.8767551660193089,0.8736946621442024,0.3880266075388027,3.753578400185658,3.8197887314363754,0.8486274500891665,0.8463424201848238,0.30621172353455817,3.798062355049795,3.852217080053643,0.8681662648213271,0.8670247118767923,0.1779359430604982,4.069567237336582,4.104660233268393,0.8465208379487692,0.8450686713042067,0.6081337894336754,3.6464513944428667,3.7603948573135506,0.8859769029791298,0.881684285360953
tower seamlessm4t,0.4955947136563877,3.497262178144791,3.6010789498358573,0.8790647895916444,0.8754556955244507,0.22172949002217296,3.5995008358835117,3.6366925855598797,0.857216715922129,0.8557554135189914,0.21872265966754156,3.691122677871405,3.7296855593799294,0.874719730644184,0.873716749734705,0.1779359430604982,3.9330400340214884,3.9680441072473607,0.8544980242565575,0.8530480149748911,0.4941087039148613,3.4039466839605117,3.494211109282172,0.8966552678230868,0.8933467881131744
