system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
canary-v2,1.777,3.9023,1.1078,1.3443,0.3456,0.4227,0.0,-3.6345,3.5462,,2.9404,,-11.2293
desta2-8b,1.7518,7.7994,1.5123,4.067,-0.4582,1.6416,-13.8689,-2.1868,-3.655,,10.7097,,1.4761
gemma_canary-v2,0.3259,0.9228,0.1238,0.0751,-0.6083,-0.2254,0.5539,-0.5682,0.6863,,-0.3881,,-5.3443
gemma_owsm4.0-ctc,-0.7577,-0.578,0.0087,-1.174,0.0682,-0.1225,0.7903,-0.1921,0.7659,,-0.5818,,-0.0047
gemma_seamlessm4t,-0.1094,0.6199,-0.3996,0.0915,0.1394,-0.1122,0.3313,0.7932,-0.0101,,0.2124,,-0.3752
gemma_whisper,-0.4195,0.2961,0.1535,0.4338,0.0507,-0.6176,0.2553,0.0203,0.5224,,-1.4353,,-0.1007
owsm4.0-ctc,-1.5597,-1.1154,-52.6763,-5.5686,-0.2249,-4.5734,5.9378,1.4994,-14.0426,,-17.43,,-8.6001
phi4multimodal,4.7247,-2.0335,-0.1045,0.44,0.8006,10.2363,2.1695,-0.8086,-1.1272,,-0.7386,,-0.8596
qwen2audio-7b,-1.1042,2.4261,3.7656,0.8091,2.0223,1.9061,1.6272,-0.6856,-4.132,,3.2265,,-0.4076
seamlessm4t,2.2673,1.4333,1.8238,0.2804,0.4299,0.0661,3.1029,-0.5376,0.5897,,-0.1565,,-0.4456
spirelm,4.8713,-1.1766,2.172,0.74,-1.6942,-0.6947,1.1333,,,,,,
tower_canary-v2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
tower_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
voxtral-small-24b,1.6781,0.7529,0.2323,0.5124,0.6505,0.6219,2.5599,-0.6401,0.5511,,2.7183,,-1.4499
whisper,,,,,,,,-0.1226,-3.6259,,2.0933,,-1.3217
