system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
canary-v2,0.0696,0.1017,0.0734,0.0848,0.0304,0.0425,0.0,0.1009,0.1117,,0.1931,,0.0376
desta2-8b,0.1511,0.2059,0.1146,0.1566,0.0735,0.1072,0.2801,0.1255,0.2264,,0.2073,,0.1745
gemma_canary-v2,0.0184,0.0223,0.016,0.016,0.0146,0.014,0.0483,0.018,0.0167,,0.0139,,0.0077
gemma_owsm4.0-ctc,0.0264,0.031,0.02,0.035,0.0117,0.0169,0.0464,0.0217,0.0249,,0.0306,,0.0406
gemma_seamlessm4t,0.0151,0.0269,0.013,0.0202,0.0125,0.0127,0.0449,0.0223,0.0179,,0.0112,,0.0296
gemma_whisper,0.0161,0.0295,0.018,0.0329,0.0157,0.0233,0.0484,0.0182,0.0193,,0.0225,,0.0217
owsm4.0-ctc,0.1765,0.1639,0.3726,0.1736,0.1162,0.1301,0.1377,0.1446,0.1864,,0.1882,,0.0678
phi4multimodal,0.1716,0.219,0.1423,0.134,0.1974,0.1529,0.126,0.074,0.0909,,0.1176,,0.0915
qwen2audio-7b,0.1716,0.1394,0.1184,0.1611,0.1233,0.1208,0.1479,0.1169,0.1742,,0.1272,,0.1215
seamlessm4t,0.0712,0.0942,0.0714,0.0754,0.0483,0.0408,0.1033,0.0665,0.1259,,0.0487,,0.0719
spirelm,0.1611,0.1951,0.1355,0.1588,0.0997,0.1121,0.1749,,,,,,
tower_canary-v2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
tower_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
voxtral-small-24b,0.0296,0.0569,0.0358,0.0371,0.0193,0.0258,0.066,0.0438,0.0614,,0.0501,,0.1124
whisper,,,,,,,,0.0983,0.1366,,0.1004,,0.1104
