system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
canary-v2,0.0159,0.0337,0.0098,0.012,0.0033,0.0039,0.0,-0.0307,0.0298,,0.0237,,-0.0051
desta2-8b,0.0144,0.0561,0.0124,0.031,-0.0042,0.0142,-0.0722,-0.0184,-0.0264,,0.0764,,0.011
gemma_canary-v2,0.003,0.0083,0.0012,0.0007,-0.0059,-0.0021,0.0048,-0.0053,0.0063,,-0.0036,,-0.0018
gemma_owsm4.0-ctc,-0.0069,-0.0052,0.0001,-0.0107,0.0007,-0.0012,0.0068,-0.0017,0.0066,,-0.0051,,-0.0
gemma_seamlessm4t,-0.001,0.0057,-0.0038,0.0009,0.0013,-0.0011,0.003,0.0072,-0.0001,,0.0019,,-0.0034
gemma_whisper,-0.0039,0.0027,0.0014,0.004,0.0005,-0.0059,0.0022,0.0002,0.0047,,-0.0135,,-0.0009
owsm4.0-ctc,-0.009,-0.0044,-0.261,-0.0275,-0.0017,-0.0231,0.033,0.0078,-0.0711,,-0.0872,,-0.0184
phi4multimodal,0.0365,-0.0084,-0.0008,0.0037,0.0056,0.0659,0.0165,-0.0072,-0.0102,,-0.0065,,-0.0073
qwen2audio-7b,-0.0087,0.0196,0.0313,0.0064,0.0175,0.0155,0.013,-0.0057,-0.0333,,0.0264,,-0.0034
seamlessm4t,0.0201,0.0125,0.0163,0.0025,0.004,0.0006,0.0225,-0.0048,0.0051,,-0.0014,,-0.0039
spirelm,0.0393,-0.0091,0.0178,0.006,-0.0152,-0.0061,0.0079,,,,,,
tower_canary-v2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
tower_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-0.0
voxtral-small-24b,0.0158,0.007,0.0022,0.0049,0.0063,0.006,0.0226,-0.006,0.0051,,0.0251,,-0.0126
whisper,,,,,,,,-0.0011,-0.0306,,0.0176,,-0.0102
