direction,system,METRICX_QE_24_diff,XCOMET_QE_diff,METRICX_QE_NON_DISFLUENT,XCOMET_QE_NON_DISFLUENT,METRICX_QE_DISFLUENT,XCOMET_QE_DISFLUENT,LINGUAPY_NON_DISFLUENT,LINGUAPY_DISFLUENT
en_nl,seamlessm4t,0.5568586478940452,0.9489242374297647,44.092427245969695,49.099717149889564,28.321406895618495,25.193240561594184,-4.065040650406504,-6.552706552706553
en_nl,canary-v2,0.10252105672481161,0.19756608484697313,76.19188525812413,69.25996389330888,69.1069660696209,57.83393899482301,-0.0,-0.5698005698005698
en_nl,owsm4.0-ctc,0.531019707054574,0.5929870808494806,32.129775427221276,33.8319588301143,20.985866660745728,21.238062277361962,-9.75609756097561,-18.51851851851852
en_nl,aya_whisper,0.025296352630999292,0.07099225155692515,78.65992679053205,73.31844049740613,76.71921058597728,68.45842291652576,-0.0,-0.2849002849002849
en_nl,gemma_whisper,0.03419919196916521,0.06529439162875665,78.09946717285528,71.52761802440736,75.51685185921498,67.14352256660894,-0.0,-0.0
en_nl,tower_whisper,0.05212582473566012,0.09441661691600262,80.37777358051238,75.39321213233762,76.39559042351877,68.88895048468011,-0.0,-0.0
en_nl,aya_seamlessm4t,0.07937028819578547,0.16782689342734125,78.17543813077415,72.22655453696484,72.42689463080164,61.84696973794992,-0.0,-0.0
en_nl,gemma_seamlessm4t,0.13444447980414487,0.3678696811875664,76.70166004867089,71.69901762551409,67.61164729887264,52.416555912889265,-0.0,-0.0
en_nl,tower_seamlessm4t,0.10869922739603886,0.23576305816516827,78.04047891473382,73.48039058165821,70.38922458530492,59.46155300253121,-0.8130081300813008,-0.0
en_nl,aya_canary-v2,0.07450554014291869,0.16984159785474842,79.73527783010064,73.81494001644414,74.20648368131741,63.098234967713346,-0.0,-0.0
en_nl,gemma_canary-v2,0.1253309880225732,0.2950334009875614,78.88370841790021,73.15820178728762,70.09822821685052,56.49136287257065,-0.0,-0.2849002849002849
en_nl,tower_canary-v2,0.08532000730951242,0.17460908353971566,80.00598411928348,74.95736888026804,73.71649244504097,63.814736264751176,-0.8130081300813008,-0.0
en_nl,aya_owsm4.0-ctc,0.07626082725310614,0.18120495600280193,78.50270455445701,72.93738650718356,72.9402228220236,61.74829028317296,-0.0,-0.0
en_nl,gemma_owsm4.0-ctc,0.13778345556169605,0.3337127898126333,77.70505170560465,72.82648412435036,68.29511479163102,54.60432312010848,-0.0,-0.0
en_nl,tower_owsm4.0-ctc,0.0905845148011851,0.21337012825790727,79.07886000765049,74.91654266671436,72.51052892683578,61.74253092440604,-0.8130081300813008,-0.0
en_nl,desta2-8b,0.07567914577262895,0.16118288261486047,72.3871145868689,63.36732580652082,67.29433667218244,54.571357152479145,-0.0,-0.0
en_nl,qwen2audio-7b,0.13321076539441937,0.2638245660060146,60.27444133719778,54.34849861918426,53.18908289423016,43.00319845098312,-3.252032520325203,-4.5584045584045585
en_nl,phi4multimodal,0.2614186793510842,0.551906850475929,46.246802267989494,42.08396704700904,36.66253165981369,27.117585719853608,-21.13821138211382,-20.797720797720796
en_nl,voxtral-small-24b,0.018541441370341912,0.043712169358965595,80.3728868045458,74.83276406197044,78.90978564054538,71.69866008933454,-0.8130081300813008,-0.0
en_nl,spirelm,0.105909291875258,0.2744263618740449,72.0089973133754,64.24946609914788,65.11293271735863,50.41442018248037,-1.6260162601626016,-0.5698005698005698
