direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_de,canary-v2,0.6913,6.7141,0.211,6.7167,0.6911
en_de,desta2-8b,0.682,6.896,0.211,6.9362,0.6816
en_de,aya_canary-v2,0.7537,5.2347,0.0,5.2347,0.7537
en_de,aya_whisper,0.7815,4.8034,0.0,4.8034,0.7815
en_de,aya_seamlessm4t,0.7409,5.4301,0.211,5.4715,0.7403
en_de,aya_owsm4.0-ctc,0.7506,5.3008,0.0,5.3008,0.7506
en_de,gemma_canary-v2,0.706,6.0532,0.211,6.0616,0.7059
en_de,gemma_seamlessm4t,0.6801,6.4261,0.0,6.4261,0.6801
en_de,gemma_whisper,0.7591,5.1795,0.0,5.1795,0.7591
en_de,gemma_owsm4.0-ctc,0.701,6.1831,0.0,6.1831,0.701
en_de,owsm4.0-ctc,0.5564,11.93,0.0,11.93,0.5564
en_de,phi4multimodal,0.6577,7.6659,8.6498,8.7504,0.6047
en_de,qwen2audio-7b,0.6099,8.9664,5.6962,9.7278,0.5833
en_de,seamlessm4t,0.4366,17.1556,1.6878,17.23,0.4304
en_de,spirelm,0.6327,7.5805,0.211,7.5938,0.6323
en_de,voxtral-small-24b,0.7932,4.4626,0.211,4.5026,0.7923
en_de,tower_canary-v2,0.7461,5.3928,0.0,5.3928,0.7461
en_de,tower_owsm4.0-ctc,0.7416,5.6693,0.0,5.6693,0.7416
en_de,tower_seamlessm4t,0.7294,5.7407,0.0,5.7407,0.7294
en_de,tower_whisper,0.7802,4.852,0.0,4.852,0.7802
