direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_es,seamlessm4t,0.3784,15.0722,5.6962,38.4296,36.19
en_es,canary-v2,0.5672,8.03,0.6329,67.6824,56.510000000000005
en_es,owsm4.0-ctc,0.2745,17.1636,0.8439,30.979200000000006,27.07
en_es,aya_whisper,0.6587,6.3301,0.0,74.6796,65.86999999999999
en_es,gemma_whisper,0.6346,6.4638,0.6329,73.902,63.12
en_es,tower_whisper,0.6515,6.4662,0.0,74.1352,65.14999999999999
en_es,aya_seamlessm4t,0.5939,7.4533,0.0,70.1868,59.39
en_es,gemma_seamlessm4t,0.5323,7.9867,0.0,68.0532,53.23
en_es,tower_seamlessm4t,0.5794,7.838,0.6329,68.4076,57.699999999999996
en_es,aya_canary-v2,0.6215,6.6479,0.0,73.4084,62.150000000000006
en_es,gemma_canary-v2,0.5824,7.2673,0.211,70.7692,58.07
en_es,tower_canary-v2,0.6012,6.9917,0.211,71.9756,60.089999999999996
en_es,aya_owsm4.0-ctc,0.608,7.0302,0.0,71.8792,60.8
en_es,gemma_owsm4.0-ctc,0.5601,7.6432,0.211,69.2656,55.84
en_es,tower_owsm4.0-ctc,0.5967,7.3941,0.211,70.3656,59.64
en_es,desta2-8b,0.5458,8.182,0.8439,66.86959999999999,54.190000000000005
en_es,qwen2audio-7b,0.4923,9.7469,5.9072,57.6516,46.71
en_es,phi4multimodal,0.5093,9.7315,3.5865,59.6,49.36
en_es,voxtral-small-24b,0.6815,5.7892,0.4219,76.498,67.80000000000001
en_es,spirelm,0.5091,9.2671,0.4219,62.6292,50.63999999999999
