direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_fr,seamlessm4t,0.2909,16.464,2.3207,33.6652,28.51
en_fr,canary-v2,0.4814,8.5554,0.4219,65.72399999999999,48.11
en_fr,owsm4.0-ctc,0.1984,18.5094,0.6329,25.647999999999996,19.7
en_fr,aya_whisper,0.587,6.7517,0.0,72.9932,58.699999999999996
en_fr,gemma_whisper,0.5685,6.8544,0.0,72.5824,56.85
en_fr,tower_whisper,0.5661,6.9353,0.0,72.25880000000001,56.61000000000001
en_fr,aya_seamlessm4t,0.5189,7.6556,0.0,69.3776,51.89
en_fr,gemma_seamlessm4t,0.458,8.3081,0.0,66.7676,45.800000000000004
en_fr,tower_seamlessm4t,0.4995,8.2641,0.211,66.9156,49.91
en_fr,aya_canary-v2,0.5439,7.1553,0.0,71.3788,54.39000000000001
en_fr,gemma_canary-v2,0.4868,7.6872,0.211,69.2188,48.65
en_fr,tower_canary-v2,0.5257,7.4948,0.0,70.02080000000001,52.56999999999999
en_fr,aya_owsm4.0-ctc,0.5355,7.2761,0.0,70.8956,53.55
en_fr,gemma_owsm4.0-ctc,0.471,8.1361,0.0,67.4556,47.099999999999994
en_fr,tower_owsm4.0-ctc,0.5206,7.677,0.0,69.292,52.059999999999995
en_fr,desta2-8b,0.427,8.6064,0.8439,65.16919999999999,42.46
en_fr,qwen2audio-7b,0.4095,10.1886,4.4304,56.6656,38.79
en_fr,phi4multimodal,0.4441,10.9303,26.7932,40.8724,27.01
en_fr,voxtral-small-24b,0.6026,6.3357,0.211,74.51,60.17
en_fr,spirelm,0.422,9.4768,0.6329,61.7116,42.03
