direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_it,seamlessm4t,0.3224,16.4179,15.8228,30.6768,27.950000000000003
en_it,canary-v2,0.5626,7.7791,0.4219,68.7184,56.07
en_it,owsm4.0-ctc,0.2318,18.1976,1.8987,26.786,22.8
en_it,aya_whisper,0.6443,6.0327,0.0,75.8692,64.42999999999999
en_it,gemma_whisper,0.6228,6.3108,0.0,74.7568,62.28
en_it,tower_whisper,0.6314,6.2428,0.6329,74.6168,62.92
en_it,aya_seamlessm4t,0.5883,7.038,0.0,71.848,58.830000000000005
en_it,gemma_seamlessm4t,0.5181,7.751,0.4219,68.82560000000001,51.66
en_it,tower_seamlessm4t,0.5736,7.4253,0.6329,69.9756,57.13
en_it,aya_canary-v2,0.6036,6.4431,0.211,74.1028,60.25
en_it,gemma_canary-v2,0.5639,7.1531,0.4219,71.1888,56.21000000000001
en_it,tower_canary-v2,0.5883,6.7711,0.0,72.9156,58.830000000000005
en_it,aya_owsm4.0-ctc,0.5971,6.6324,0.0,73.4704,59.709999999999994
en_it,gemma_owsm4.0-ctc,0.5348,7.4845,0.211,69.9176,53.39
en_it,tower_owsm4.0-ctc,0.5833,6.9306,0.0,72.2776,58.330000000000005
en_it,desta2-8b,0.4979,8.3661,1.0549,65.9904,49.45
en_it,qwen2audio-7b,0.4507,9.9188,3.7975,58.302,43.69
en_it,phi4multimodal,0.4533,10.309,3.5865,57.0432,43.37
en_it,voxtral-small-24b,0.666,5.592,0.0,77.632,66.60000000000001
en_it,spirelm,0.4879,8.9238,0.8439,63.9676,48.61
