direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_nl,seamlessm4t,0.3368,16.5986,5.9072,32.414,31.4
en_nl,canary-v2,0.6091,7.2317,0.4219,70.9456,60.8
en_nl,owsm4.0-ctc,0.3069,17.3841,16.2447,23.8776,24.51
en_nl,aya_whisper,0.6987,5.6578,0.211,77.2228,69.72
en_nl,gemma_whisper,0.6828,5.9532,0.0,76.1872,68.28
en_nl,tower_whisper,0.7058,5.6428,0.0,77.4288,70.58
en_nl,aya_seamlessm4t,0.6454,6.5203,0.0,73.9188,64.53999999999999
en_nl,gemma_seamlessm4t,0.5742,7.5074,0.0,69.9704,57.42
en_nl,tower_seamlessm4t,0.6326,6.8699,0.211,72.3748,63.1
en_nl,aya_canary-v2,0.6588,6.0897,0.0,75.6412,65.88000000000001
en_nl,gemma_canary-v2,0.6086,6.9011,0.211,72.378,60.81999999999999
en_nl,tower_canary-v2,0.6684,6.1248,0.211,75.3484,66.71000000000001
en_nl,aya_owsm4.0-ctc,0.6465,6.4041,0.0,74.3836,64.64999999999999
en_nl,gemma_owsm4.0-ctc,0.5933,7.3158,0.0,70.7368,59.330000000000005
en_nl,tower_owsm4.0-ctc,0.653,6.4079,0.211,74.2148,65.16
en_nl,desta2-8b,0.5685,7.846,0.0,68.616,56.85
en_nl,qwen2audio-7b,0.4798,10.6315,4.2194,55.0276,45.95
en_nl,phi4multimodal,0.4352,12.2269,20.8861,39.1496,31.0
en_nl,voxtral-small-24b,0.7256,5.1395,0.211,79.28960000000001,72.50999999999999
en_nl,spirelm,0.5457,8.1434,0.8439,66.9024,54.0
