direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_zh,canary-v2,0.6365,9.7694,100.0,25.0,0.0
en_zh,desta2-8b,0.4061,9.1766,26.1603,11.6898,0.3531
en_zh,aya_canary-v2,0.5745,5.0242,0.211,5.0515,0.5734
en_zh,aya_whisper,0.6046,4.7655,0.211,4.8117,0.6038
en_zh,aya_seamlessm4t,0.5683,5.169,0.4219,5.2483,0.5669
en_zh,aya_owsm4.0-ctc,0.5677,5.0704,0.0,5.0704,0.5677
en_zh,gemma_canary-v2,0.55,5.2605,0.4219,5.3206,0.5493
en_zh,gemma_seamlessm4t,0.5282,5.584,0.211,5.5943,0.5279
en_zh,gemma_whisper,0.5847,4.9168,0.0,4.9168,0.5847
en_zh,gemma_owsm4.0-ctc,0.5418,5.3622,0.211,5.4012,0.5407
en_zh,owsm4.0-ctc,0.3785,10.4948,0.0,10.4948,0.3785
en_zh,phi4multimodal,0.5126,7.4305,15.4008,9.6437,0.4191
en_zh,qwen2audio-7b,0.4861,6.3431,1.4768,6.5145,0.4818
en_zh,seamlessm4t,0.334,13.1322,3.7975,13.3919,0.3236
en_zh,spirelm,0.4289,6.7723,0.211,6.814,0.4271
en_zh,voxtral-small-24b,0.6147,4.7396,0.0,4.7396,0.6147
en_zh,tower_canary-v2,0.5745,5.0714,0.0,5.0714,0.5745
en_zh,tower_owsm4.0-ctc,0.5551,5.3073,0.0,5.3073,0.5551
en_zh,tower_seamlessm4t,0.5649,5.4958,0.211,5.5304,0.5649
en_zh,tower_whisper,0.6137,4.8939,0.0,4.8939,0.6137
