direction,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en
accent,BEI,CHD,CMN,JNN,TYN,WHN,XIA
system,,,,,,,
whisper,44.44444444444444,20.0,41.66666666666667,30.0,0.0,33.33333333333333,37.5
seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,12.5
canary-v2,77.77777777777779,70.0,86.11111111111111,60.0,21.428571428571427,41.66666666666667,62.5
owsm4.0-ctc,5.555555555555555,20.0,18.055555555555554,30.0,7.142857142857142,8.333333333333332,37.5
aya_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_whisper,0.0,0.0,0.0,10.0,0.0,0.0,12.5
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_seamlessm4t,0.0,0.0,0.0,20.0,0.0,0.0,0.0
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,12.5
aya_canary-v2,0.0,0.0,11.11111111111111,0.0,0.0,8.333333333333332,0.0
gemma_canary-v2,,,,,,,
tower_canary-v2,50.0,30.0,66.66666666666666,60.0,42.857142857142854,33.33333333333333,50.0
aya_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,12.5
gemma_owsm4.0-ctc,0.0,0.0,0.0,20.0,0.0,0.0,0.0
tower_owsm4.0-ctc,0.0,0.0,0.0,10.0,0.0,8.333333333333332,25.0
desta2-8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2audio-7b,5.555555555555555,10.0,4.166666666666666,0.0,0.0,16.666666666666664,12.5
phi4multimodal,11.11111111111111,10.0,4.166666666666666,0.0,0.0,0.0,0.0
voxtral-small-24b,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0
spirelm,,,,,,,
