direction,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en
accent,BEI,CHD,CMN,JNN,TYN,WHN,XIA
system,,,,,,,
whisper,19.25038120481703,23.009463119506837,18.68614959054523,19.187124729156498,21.929442065102712,22.17967414855957,18.797275342047215
seamlessm4t,12.3412999841902,20.390468406677247,12.449424849616156,17.913415050506593,18.805704525538857,20.059610446294148,16.221735060214996
canary-v2,24.617826991611057,20.85544400215149,23.719781908724045,22.249009776115415,21.24798778125218,22.364190975824993,24.39268660545349
owsm4.0-ctc,23.77448187934028,25.0,23.773965941535103,24.65735912322998,24.73062801361084,24.033142884572342,25.0
aya_whisper,8.936367167366875,13.519078040122986,9.573377993371752,13.30608847141266,16.156134298869542,13.339056491851808,10.286688923835754
gemma_whisper,10.429738216929966,15.161782026290894,10.290433790948656,16.339653301239014,19.529455729893275,16.959718426068623,15.371748328208923
tower_whisper,7.315327962239583,15.092084217071534,8.568369272682402,12.949004936218262,19.556491783687047,17.3499915599823,15.7596253156662
aya_seamlessm4t,10.468921807077196,11.829158782958984,10.546696341700024,11.044742774963378,14.153141600745064,12.4403378367424,12.777251809835434
gemma_seamlessm4t,10.750939819547863,12.93425154685974,10.561340749263763,14.947587251663208,16.10083590235029,15.689738194147743,15.07448872923851
tower_seamlessm4t,11.165827923350864,13.5399245262146,10.62800501121415,9.53523895740509,15.312230042048864,15.094590067863464,16.928485453128815
aya_canary-v2,12.95544015036689,9.91481556892395,14.370310809877184,13.800574159622192,14.477742024830407,16.690460046132404,14.565342366695404
gemma_canary-v2,,,,,,,
tower_canary-v2,18.432449711693657,12.393060350418091,21.101669675774044,17.195988607406616,18.740154675074987,16.515012979507446,19.748652756214145
aya_owsm4.0-ctc,11.4953490363227,20.087562465667723,10.3108215894964,12.745674538612366,20.28117288861956,14.348657608032228,12.267278969287872
gemma_owsm4.0-ctc,11.167086177402073,22.43622779846191,11.73217228717274,18.873236656188965,21.897803715297155,20.62074859937032,20.52525806427002
tower_owsm4.0-ctc,8.610622843106588,21.713636016845705,8.765881574816174,16.114612770080566,21.725481305803573,19.427167892456055,18.442534744739532
desta2-8b,10.044101105795969,16.60426797866821,10.089652674065697,14.533301877975465,18.086897815976823,16.98070565859477,15.067224740982056
qwen2audio-7b,8.459991375605265,8.043203449249267,8.914108302858141,10.022718715667724,8.299983552524022,12.490331252415976,10.254428565502169
phi4multimodal,9.243341366449991,13.00314989089966,9.042822218603558,9.642907071113587,10.850426145962306,12.463793834050495,8.394662916660309
voxtral-small-24b,7.852995991706848,10.973000979423524,7.215197649266985,8.169908714294433,12.231786864144462,8.219065328439077,8.7964246571064
spirelm,,,,,,,
