system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X normalized (weighted)
aya_canary-v2,1.0,0.0,1.0,1.0,0.5,1.0,0.7777777777777778
aya_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary-v2,0.17647058823529418,0.3,0.25,0.6666666666666666,0.5454545454545455,0.2857142857142857,0.37279128823246466
desta2-8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owsm4.0-ctc,0.5,0.6,-0.5,0.0,0.0,-0.5,0.08333333333333333
phi4multimodal,0.0,0.0,0.0,1.0,0.0,1.0,0.3055555555555556
qwen2audio-7b,0.0,0.0,0.0,1.0,-1.0,0.0,0.027777777777777776
seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower_canary-v2,0.18181818181818185,0.6666666666666666,0.14285714285714285,0.2500000000000001,0.42857142857142855,0.3333333333333333,0.3149651274651275
tower_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voxtral-small-24b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whisper,0.0,0.3333333333333333,0.25,1.0,0.33333333333333326,0.0,0.3310185185185185
