system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X normalized (weighted)
aya_canary-v2,0.07195528774413018,-0.4227887920755926,-0.42199948499747125,0.2602611213856932,0.20235078062014186,-0.2851314013042977,-0.046692690762906525
aya_owsm4.0-ctc,0.07440782078219067,0.6644226888071733,0.18946796298050703,0.6695861579707734,0.2927215087230714,0.07408539015060192,0.3244138156865102
aya_seamlessm4t,-0.04025373638297287,0.10456206100016761,0.12431188779966366,0.2741647356908542,0.07189630697859646,0.12020168848520604,0.10037288506113287
aya_whisper,-0.037760266014675414,0.25313241691052085,0.17011762661405588,0.4383888393577885,0.2720349970232189,0.05665703053180576,0.18622132786838502
canary-v2,0.24372877574871896,-0.3631289596557616,0.2556435570133629,0.21824949763976761,0.08538606123490772,0.1996460159032841,0.12485496897298425
desta2-8b,0.03380584298938727,0.4002545107183155,0.2773326760682358,0.5381967223882952,0.43704506633299894,0.3867708578700054,0.323025539084259
gemma_owsm4.0-ctc,-0.0801578720689137,0.8139354689902902,0.4688174426215436,0.7545285540580038,0.6900472985574637,0.6477683112274539,0.49181668400276585
gemma_seamlessm4t,0.03176223352490952,0.16653914745488418,0.2684968560694654,0.3622326402369427,0.3393647385017983,0.2842932817826911,0.2269452821985024
gemma_whisper,-0.052371834096659686,0.38130870614606666,0.3993333321663085,0.630469712387179,0.4036862878778885,0.34541116445966685,0.32358094601411636
owsm4.0-ctc,0.2202920416650031,0.6587344043325567,0.13736863722818943,0.6804434258855472,0.04382674883447812,0.1007340839839939,0.3164484553591787
phi4multimodal,0.10379045861179002,0.0924998731228207,-0.07309513234013343,0.048629874016407684,0.27964884943140195,0.03740326312105418,0.08886258607241745
qwen2audio-7b,0.06159981067466902,-0.15324286608607574,0.05402849037843348,0.019261340930023484,0.014973483495321429,0.10474819229324722,0.0194997076163581
seamlessm4t,0.025606440746311875,0.6833122709702039,0.311306918946951,0.47145831337179894,0.5876814093650579,0.32611471967679734,0.3703974845778531
tower_canary-v2,-0.22086161259178388,-0.889552180824351,-0.3866373468860053,0.02190527232268995,-0.4017222093588956,-0.12822218120507867,-0.309405200738686
tower_owsm4.0-ctc,-0.04222521523736284,0.8174838110080395,0.4567293161383702,0.7899073497684383,0.6109563799264913,0.47831820029550964,0.47498336743655106
tower_seamlessm4t,0.10025100708835019,0.16433678561899276,-0.03443623665196981,0.28398929053170957,0.2522693777899821,0.424190318887423,0.18750178846227272
tower_whisper,-0.03456847648212713,0.4491611633531135,0.19236743578466964,0.6327719921443969,0.528415514264396,0.48706526718705306,0.34568568907486497
voxtral-small-24b,0.05602940456561124,0.18801843925740447,0.07392921777298289,0.30994240320396876,-0.01120293998703721,0.03756841517477747,0.1129626602624196
whisper,0.02480762949851659,0.6664047508836307,0.2587230045611774,0.6335837766235796,0.4005943413854524,-0.00019649686928270885,0.3246326094419814
