system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X normalized (weighted)
aya_canary-v2,-0.10187390236570118,-0.5166876517003604,-0.2212686507260638,0.1071208875822738,-0.05970772661061287,-0.14279340797917267,-0.13295056699799673
aya_owsm4.0-ctc,0.03115534923875058,0.6436146858691999,0.5314997952496073,0.6105555548952448,0.6602742414794937,0.7523069011742619,0.4833536801828754
aya_seamlessm4t,0.03890203652099605,0.3782458390445286,0.3000793002485049,0.5507754366376154,0.3800962083043199,0.42793578992768094,0.32193034697650225
aya_whisper,0.02578307178999671,0.3822377925215779,0.3774981092392483,0.6694553290689118,0.5943568734140616,0.4261798892674488,0.38854931266529585
canary-v2,-2.8042988232599417,0.0,-0.7504208911279637,-1.0929815283173712,-12.768221836151907,-0.798182000454856,-3.2345478772758818
desta2-8b,0.10019701414822718,0.399959630772694,0.15797484194938047,0.411983913781185,0.4202306815608516,0.24485008187595078,0.2798921473411562
gemma_owsm4.0-ctc,-0.03292141859226188,0.5894431851513142,0.6646038770317249,0.5689036460492397,0.5647584312446935,0.6256771742894168,0.44020909307098177
gemma_seamlessm4t,-0.037120791036366105,0.3618323588065275,0.47840865736328203,0.5571099878176013,0.5007051712686238,0.43315028958372737,0.34732555728310044
gemma_whisper,-0.08121300841427812,0.5726242319156049,0.5850925666069184,0.5495127983679285,0.594760345548777,0.6000307857623692,0.41313727005004863
owsm4.0-ctc,-0.04621833155130219,-0.21482957907112682,0.15351945464542108,0.09597226478008458,0.0068178496027232645,0.1650114620053788,0.018062310916894406
phi4multimodal,-0.07444112685453351,0.2968130726507549,0.2547163624934615,0.5150050151229403,0.3006347106338429,0.25639447768130424,0.23672495317830933
qwen2audio-7b,0.061463201091676835,0.02791782129262415,0.26978687448104316,0.09205646117050846,0.2945800613909918,0.16522861548817389,0.14206895408848982
seamlessm4t,0.1474108584428003,0.36190444569012803,0.15109770482189916,0.2885955347629924,0.5579413419727753,0.4839556124797698,0.31098188121227827
tower_canary-v2,-0.22488486227131413,-5.554501922674973,-0.4439825893681551,-0.3435860812815981,-0.6735083157426328,-1.2221677624811196,-1.2042002731669146
tower_owsm4.0-ctc,0.07957650910022349,0.6774453403846239,0.5649861933700976,0.6349728154853362,0.6299791196304904,0.6370448107383037,0.49170027555025364
tower_seamlessm4t,0.017356420916199322,0.2285268387717093,0.30547989688283406,0.5421645914303056,0.48330681226700034,0.5705740813112442,0.3278758557049341
tower_whisper,0.023627063215427818,0.47667046913807937,0.4918112221177562,0.6284097604177141,0.586012400899067,0.5922806243206596,0.4260865903005297
voxtral-small-24b,0.12754368867785706,0.18847132959531074,0.3710649412817953,0.19297935045286932,0.05056601511678414,0.19852237948424054,0.17760876706372214
whisper,-0.02876284369718097,0.29452182382741515,0.34459729632073505,-0.22858762299410793,-0.21131446562968545,0.3994781961822119,0.046295628818280615
