system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X normalized (weighted)
aya_canary-v2,0.08963258534772978,-0.5166876517003604,-0.12232573207262186,0.1722140576113928,-0.0654204226721368,-0.0019370201307079065,-0.043976274000312385
aya_owsm4.0-ctc,0.03115534923875058,0.6436146858691999,0.5314997952496073,0.6105555548952448,0.6602742414794937,0.7228467140138194,0.4800803260539373
aya_seamlessm4t,0.03890203652099605,0.3782458390445286,0.3000793002485049,0.5507754366376154,0.3800962083043199,0.42793578992768094,0.32193034697650225
aya_whisper,0.02578307178999671,0.3822377925215779,0.3774981092392483,0.6694553290689118,0.5943568734140616,0.4261798892674488,0.38854931266529585
canary-v2,0.05176244515517169,-0.09789928975241788,0.053814829296662446,0.06957842436847035,-0.056420537986995735,0.1442070510128427,0.026966490300734912
desta2-8b,0.10019701414822718,0.399959630772694,0.15797484194938047,0.411983913781185,0.4202306815608516,0.24485008187595078,0.2798921473411562
gemma_owsm4.0-ctc,-0.03292141859226188,0.5894431851513142,0.5781269493079367,0.5689036460492397,0.5647584312446935,0.6256771742894168,0.42819840866490005
gemma_seamlessm4t,-0.037120791036366105,0.3618323588065275,0.3990087923064537,0.5571099878176013,0.5007051712686238,0.43315028958372737,0.3362977982474298
gemma_whisper,-0.08121300841427812,0.5726242319156049,0.5388304712148234,0.5495127983679285,0.594760345548777,0.5397311296391062,0.40001201723189506
owsm4.0-ctc,-0.0561373708728169,0.09535195837306389,0.0385253708908046,0.02304113591843914,0.020939311079810227,-0.03857319774144212,0.008243925983504364
phi4multimodal,-0.11746093841490263,0.33278786979200925,0.2547163624934615,0.5247226108583328,0.3006347106338429,0.291950495146518,0.23680670100251916
qwen2audio-7b,0.010294689702317965,-0.04790900104779335,0.26978687448104316,0.16697976082464175,0.339574696462675,0.09642793224533952,0.1331683280004725
seamlessm4t,0.1474108584428003,0.36190444569012803,0.15109770482189916,0.2885955347629924,0.5579413419727753,0.41416626707456244,0.3032275095005885
tower_canary-v2,-0.03969308839450148,-0.0801441690290675,-0.04239483884289694,-0.024003891185814565,-0.0777044013113013,0.04729991904062551,-0.039305189025453977
tower_owsm4.0-ctc,0.07957650910022349,0.6774453403846239,0.5302228689667806,0.6349728154853362,0.596458452938478,0.5384545596663304,0.4703307859264605
tower_seamlessm4t,0.017356420916199322,0.2285268387717093,0.30547989688283406,0.5421645914303056,0.48330681226700034,0.5221306540039694,0.3224932526707925
tower_whisper,0.023627063215427818,0.47667046913807937,0.4918112221177562,0.6284097604177141,0.586012400899067,0.5922806243206596,0.4260865903005297
voxtral-small-24b,0.12754368867785706,0.18847132959531074,0.3710649412817953,0.19297935045286932,0.016483174858227197,0.19852237948424054,0.17192829368729598
whisper,-0.029810782362875033,0.4878902846027608,0.5439419026471596,0.4736807388196772,0.41950325591728865,0.427925456170234,0.3454264007473926
