system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-2.176278563656148,90.02057172168325,88.08295854643977,91.29969640447473,89.57653154129561
aya_owsm4.0-ctc,-2.50272034820457,88.47568307471613,86.32105750403285,89.11637035203577,87.44358786658441
aya_whisper,-3.917301414581066,86.10038247840708,83.50240132251554,86.78263714121528,84.5812768935833
canary-v2,-5.114254624591948,77.62585848689858,73.96540690288839,82.71994870297928,78.64098606126483
desta2-8b,-68.11751904243744,40.60133911340099,11.802977234935867,20.089124195010154,7.9621584877225855
gemma_canary-v2,-2.2850924918389555,88.94491787392634,87.15666957635744,91.12742460526371,89.0717828559149
gemma_owsm4.0-ctc,-1.8498367791077257,88.21696095046981,86.72645441884575,90.14395953959688,88.66423272382838
gemma_whisper,-2.3939064200217626,86.81925757279593,85.0207618096513,89.15482235502886,87.5490044078448
owsm4.0-ctc,-2.176278563656148,66.62710852849665,64.81928586037232,76.05239647046396,74.38448967333068
phi4multimodal,-13.928182807399347,75.50027631772875,69.29988700034698,73.86038764881556,70.43517032542933
qwen2audio-7b,-79.4341675734494,40.46355077909697,6.0040805290521035,21.874952834338696,6.820401286663766
tower_canary-v2,-1.5233949945593037,88.80582608592263,87.58421718464582,90.64490103261126,89.34750244653783
tower_owsm4.0-ctc,-1.7410228509249184,87.24574353110543,85.93037213244038,89.38874818457613,88.18527045168217
tower_whisper,-2.3939064200217626,85.42998185588434,83.80567671905015,87.35690696795307,85.978028258477
voxtral-small-24b,-1.632208922742111,90.66656301031954,89.39987382007372,92.4805080556636,90.99246811069006
