system,LinguaPy,,,xcomet_qe_score,,,XCOMET-QE-Strict-linguapy,,,QEMetricX_24-Strict-linguapy,,,metricx_qe_score,,
,en-de,en-it,en-zh,en-de,en-it,en-zh,en-de,en-it,en-zh,en-de,en-it,en-zh,en-de,en-it,en-zh
aya canary-v2,-0.9793,-0.8705,0.1088,-0.013,-0.0101,0.0058,-0.0069,-0.0049,0.0066,-0.5367345890685016,-0.3960918790140795,0.1068071390910603,-1.361986759016375,-1.037795160894035,0.0599369476747
aya owsm4.0-ctc,-0.8705,-1.741,0.3264,-0.0079,-0.0123,-0.019,-0.0029,-0.0073,-0.0202,-1.214803355157187,-0.3905602967097081,-1.2213143197347307,-1.8862274746867629,-1.470011358794892,-1.0974402513448211
aya seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya whisper,-2.5027,-2.1763,0.0,0.0415,0.0245,0.0353,0.0507,0.0309,0.035,4.984930853492159,3.9268371055188425,2.286396166996809,3.689502924356418,3.041162713600059,2.19579150708509
canary-v2,-1.197,-1.0881,0.0,0.0361,0.0152,0.037,0.0454,0.0228,0.0,5.591602878857884,2.4251016683398205,0.0,4.9649942847570685,1.9395972437289115,1.744030278269307
desta2-8b,-66.1589,-69.7497,-79.2165,0.6078,0.4754,0.3759,0.7151,0.5892,0.493,67.45758420639186,61.86999191791304,62.09085826212551,40.241724578564394,33.91556710817155,41.831891463958
gemma canary-v2,-0.4353,-1.3058,-0.4353,-0.0116,0.0032,-0.0001,-0.0078,0.0141,0.0039,-0.1286941898563043,2.3777630131476855,0.0217266463318992,-0.3149453117324725,1.3212211698099168,-0.3358215277323353
gemma owsm4.0-ctc,-0.1088,-0.8705,-0.5441,-0.0198,-0.0407,-0.0203,-0.0183,-0.033,-0.0163,-2.0642467052782223,-1.4569864341172405,-0.7283454220721666,-2.021652383419706,-2.448573397020525,-1.217463453572904
gemma seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma whisper,-0.7617,-0.7617,-1.0881,0.02,0.0279,0.0292,0.0212,0.0303,0.031,3.2571751565162685,4.857320031562622,3.3162518574636266,2.9394857385667024,4.481852019686045,2.9029059228168137
owsm4.0-ctc,0.2176,-33.5147,-1.8498,-0.0106,0.017,-0.0236,-0.0139,0.185,-0.0127,-2.5446126311855366,16.000090816399734,-0.8548726955260548,-2.1780530832083684,8.798920812752101,-1.633656576762263
phi4multimodal,8.4875,-8.8139,-31.3384,0.1279,0.1182,0.3913,-0.0311,0.1041,0.3624,-4.356784389525558,10.475056872031246,36.956870984119874,-4.501123746717198,6.585324836260483,21.370283031927357
qwen2audio-7b,-74.7552,-79.4342,-71.2731,0.6012,0.486,0.5031,0.7155,0.6117,0.6362,69.63623838520674,64.73778631054148,73.9013799606489,38.42343159358831,32.81407665661552,41.69588116409664
seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spirelm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower canary-v2,0.0,-0.2176,-0.1088,-0.0042,0.0035,0.0131,-0.0049,0.0052,0.0136,-0.2358500525047162,1.194709294476624,0.7801265085158633,-0.0728927774352712,1.13106743003911,0.761832681554452
tower owsm4.0-ctc,0.0,0.1088,0.2176,-0.0142,-0.0343,0.0118,-0.0168,-0.0344,0.0095,-1.3459092910128874,-1.882523263677939,0.0632841152354757,-1.113808720752644,-1.8757130275191545,0.2603797042038991
tower seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower whisper,-0.7617,-0.8705,-0.7617,0.0417,0.0365,0.0508,0.041,0.0363,0.0518,5.101826407461218,4.915235976480801,3.580709205666736,4.97287034801937,4.828171615161494,3.325299141504942
voxtral-small-24b,0.2176,-0.7617,-0.3264,-0.0027,0.0064,0.0022,-0.0041,0.0107,0.0044,-0.0203176560417546,2.930654820407426,0.1967020547818094,0.3274895398349571,2.8383264850350827,-0.1349965221733953
