system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.61,-0.77
aya_owsm4.0-ctc,both,-1.43,-0.34
aya_seamlessm4t,left_only,,
aya_whisper,both,5.63,5.66
canary-v2,both,7.03,5.46
desta2-8b,both,85.11,89.98
gemma_canary-v2,both,-0.15,-0.88
gemma_owsm4.0-ctc,both,-2.44,-2.11
gemma_seamlessm4t,left_only,,
gemma_whisper,both,3.69,2.36
owsm4.0-ctc,both,-4.09,-1.91
phi4multimodal,both,-6.71,-4.62
qwen2audio-7b,both,92.06,91.3
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,-0.27,-0.55
tower_owsm4.0-ctc,both,-1.59,-1.95
tower_seamlessm4t,left_only,,
tower_whisper,both,5.74,4.55
voxtral-small-24b,both,-0.02,-0.45
