system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.48,-0.6
aya_owsm4.0-ctc,both,-0.49,-0.94
aya_seamlessm4t,left_only,,
aya_whisper,both,4.68,3.68
canary-v2,both,3.24,2.99
desta2-8b,both,86.98,88.52
gemma_canary-v2,both,2.89,1.71
gemma_owsm4.0-ctc,both,-1.84,-4.2
gemma_seamlessm4t,left_only,,
gemma_whisper,both,5.83,3.61
owsm4.0-ctc,both,33.22,36.89
phi4multimodal,both,14.05,13.81
qwen2audio-7b,both,94.24,93.12
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,1.46,0.63
tower_owsm4.0-ctc,both,-2.4,-4.48
tower_seamlessm4t,left_only,,
tower_whisper,both,5.91,4.34
voxtral-small-24b,both,3.49,1.27
