system,_merge,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,96.34,99.01
aya_owsm4.0-ctc,both,95.68,98.97
aya_seamlessm4t,left_only,,
aya_whisper,both,95.82,99.04
canary-v2,both,-inf,
desta2-8b,both,60.56,99.99
gemma_canary-v2,both,96.48,99.0
gemma_owsm4.0-ctc,both,96.15,98.98
gemma_seamlessm4t,left_only,,
gemma_whisper,both,95.91,99.04
owsm4.0-ctc,both,90.06,98.98
phi4multimodal,both,77.73,99.55
qwen2audio-7b,both,72.25,99.91
seamlessm4t,left_only,,
spirelm,left_only,,
tower_canary-v2,both,96.19,99.02
tower_owsm4.0-ctc,both,95.7,99.01
tower_seamlessm4t,left_only,,
tower_whisper,both,95.81,99.06
voxtral-small-24b,both,96.77,99.01
