system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-1.1969532100108813,88.65858496266688,87.54622395737127,89.99663444237947,88.88997841014307
aya_owsm4.0-ctc,-1.632208922742111,86.58945560002937,85.10625414887566,88.32929863293491,87.15100305335307
aya_seamlessm4t,-2.2850924918389555,80.93417260031316,79.20284142986475,81.44076759151717,80.12669206119595
aya_whisper,-1.4145810663764962,89.7898854027635,88.4873321760077,90.93415117675643,89.65345875596196
canary-v2,-3.917301414581066,82.59085277165565,79.55700978174627,86.32852276371665,83.18175684348543
desta2-8b,-1.958650707290533,80.84306369196538,79.26056144132772,80.86897296439835,79.46736240218331
gemma_canary-v2,-1.8498367791077257,88.62997256219387,87.02797538650114,89.97171377444941,88.29399176971567
gemma_owsm4.0-ctc,-1.7410228509249184,86.1953085670501,84.66220771356753,88.1608366317666,86.83105472706347
gemma_seamlessm4t,-3.0467899891186074,80.41391527279806,78.3866801597867,81.0759033755449,79.38004009966801
gemma_whisper,-1.632208922742111,89.75874331136264,88.27793696616757,91.15633818769871,89.6678927722382
owsm4.0-ctc,-2.3939064200217626,64.44905544528828,62.27467322918679,74.98917656832084,72.99236791275271
phi4multimodal,-22.41566920565832,70.99915257101155,64.94310261082143,86.65440108574384,67.32443699104482
qwen2audio-7b,-4.6789989118607185,78.88698237268528,75.64031891425883,81.99026100134824,78.36546678181182
seamlessm4t,-3.373231773667029,71.69238329810922,69.3325220211708,75.13363325038075,73.34992133640361
spirelm,-1.632208922742111,71.62380007598489,70.63234882838253,71.16710166725552,70.23385329510494
tower_canary-v2,-1.5233949945593037,88.73293330848736,87.3483671321411,90.22480041696664,88.85557299826428
tower_owsm4.0-ctc,-1.7410228509249184,86.13193481035279,84.5844628414275,87.97080104317317,86.50086519670175
tower_seamlessm4t,-2.2850924918389555,80.81440066037877,79.33279925706402,81.58033210804464,80.33013544141663
tower_whisper,-1.632208922742111,90.4028522039037,88.90750312651137,91.52961169755628,90.07574317974806
voxtral-small-24b,-1.8498367791077257,90.99405255015449,89.37955616403197,92.206026914492,90.58212835313316
