system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-1.3057671381936888,83.37944064382565,82.18888723511367,83.65790445572404,82.49324456878793
aya_owsm4.0-ctc,-1.088139281828074,80.27116486947412,79.26371950788324,79.52407735508336,78.51481644094184
aya_seamlessm4t,-1.8498367791077257,73.80048360632605,72.66780844372946,71.67641529053353,70.89803611841438
aya_whisper,-1.088139281828074,84.85898913919796,83.8433635327742,84.84311970406829,83.865670541198
canary-v2,-3.4820457018498367,76.99174276756384,74.92983221148381,78.86637299890621,76.25856055912053
desta2-8b,-1.958650707290533,72.5275625097155,71.13404896553763,67.68728924329444,66.56422061243696
gemma_canary-v2,-1.632208922742111,83.33358322137458,82.1645231361423,84.08696896784713,82.70457879081773
gemma_owsm4.0-ctc,-1.3057671381936888,80.21294987973502,79.3374526283427,79.35325134468546,78.63648753041672
gemma_seamlessm4t,-1.958650707290533,74.34950502403282,73.09355478184915,71.73499908029447,70.8212964842628
gemma_whisper,-1.958650707290533,84.78742786982502,83.3223919171244,85.56488906808595,83.94971269956092
owsm4.0-ctc,-2.176278563656148,49.75887889435294,48.15948555745808,51.53530076190715,50.14420595157879
phi4multimodal,-5.8759521218716,77.14795270142216,74.55574008178723,80.39608991363363,75.39104267273817
qwen2audio-7b,-3.0467899891186074,70.82730871615719,68.69449079544228,67.87105699082973,65.6902311035352
seamlessm4t,-6.855277475516866,63.40233730230484,59.95759682091393,63.078419678799925,59.759262386051745
spirelm,-1.7410228509249184,62.21738990484631,60.976366103652126,56.89593988680509,56.06786634578441
tower_canary-v2,-1.632208922742111,83.48106165489708,81.9915287478607,83.69855129274502,82.25903202890052
tower_owsm4.0-ctc,-1.5233949945593037,79.67610577901702,78.45812872027871,77.91910561711666,76.82338974826743
tower_seamlessm4t,-2.720348204570185,73.54667464785594,72.03494944255617,71.69868521132912,70.37215706840628
tower_whisper,-1.7410228509249184,84.72317963650488,83.17780589788211,85.19685381903872,83.62910940156797
voxtral-small-24b,-1.958650707290533,85.80366762880726,84.09284010868402,85.7750631050005,84.13476966183644
