system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,-0.6528835690968444,87.71715667273067,87.31275415469176,78.6474588962517,78.40573646541648
aya_owsm4.0-ctc,-0.9793253536452665,84.77665686638169,84.23328663090952,73.26303797250084,72.91376350105003
aya_seamlessm4t,-1.8498367791077257,82.09400347940486,81.07388274452697,68.21922647287425,67.82356378530133
aya_whisper,-1.088139281828074,88.25298976123139,87.64161850192602,79.5470286025924,79.10819026318269
canary-v2,-100.0,27.9891782412721,0.0,63.15004078426091,0.0
desta2-8b,-16.2132752992383,69.84466344028938,62.88010739795337,53.291334541386824,50.0300549007182
gemma_canary-v2,-0.2176278563656148,87.7594852711969,87.67126792297984,78.59630931748465,78.49872137285097
gemma_owsm4.0-ctc,-0.0,86.0331501829741,86.0331501829741,75.6215831303363,75.6215831303363
gemma_seamlessm4t,-1.3057671381936888,82.5440618518225,81.95911311128778,68.45888018089228,68.15922057602688
gemma_whisper,-0.2176278563656148,88.97498529252796,88.7780701807164,80.10343107535738,79.93236929259311
owsm4.0-ctc,-0.2176278563656148,71.11838478372069,70.94075812722056,60.612504849852876,60.446220739330116
phi4multimodal,-14.798694232861806,76.29025976257692,72.43402613684843,77.78159742191905,65.6791215963151
qwen2audio-7b,-1.088139281828074,82.98383852143866,82.4117284563894,70.72708678337561,70.25324532861484
seamlessm4t,-7.290533188248095,65.70951037908276,62.62756396770088,51.77350485529163,48.56769257712546
spirelm,-0.2176278563656148,72.39472670280765,72.29380716401293,52.65531870612512,52.58769510279413
tower_canary-v2,-0.4352557127312296,87.77902739883378,87.44728052226971,79.22182139394333,78.97679518433986
tower_owsm4.0-ctc,-0.3264417845484222,85.66537900659802,85.3846483800694,74.84859072474582,74.60258260644947
tower_seamlessm4t,-1.7410228509249184,82.27582416126467,81.3860989379351,69.55423869731734,69.23678149656678
tower_whisper,-0.4352557127312296,89.09551769812815,88.72059647588138,80.88726867578104,80.61283559693476
voxtral-small-24b,-0.3264417845484222,88.93872588367016,88.72487343972604,80.96993745561036,80.76527164428128
