system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seamlessm4t,7.814407814407814,6.6924292991392935,4.754440961337513,10.840861709520501,13.305541080423833,10.891089108910892,3.2980211872876275,2.551150851652803,3.2878769649627517,3.7360179653395784,3.6422860529836814,3.5174735477998196,4.143366281535242,2.925741804689586,4.060128034381483,4.636102015684898,4.669885701744794,5.676641760823719,6.049740582144165,6.1848581410777514,3.4726408004273766,0.9157730193330099,0.8630696219720447,0.8061024648909763,0.829945961469066,0.9010138778083592,0.8522719565765382,0.8255326277002105,0.84835155307012,0.8143129318012895,0.7740093019976823,0.7507123026914009,0.7882038478008188,0.7690094254570577,0.796021830200458
canary-v2,4.552590266875981,9.309678552608466,6.4611633577150815,7.678943710910355,9.136703143998611,8.441896821261073,100.0,1.5951908939801833,2.427649346247496,2.8129170242987653,2.6163116326281197,2.37355703707226,2.635839532208573,14.211464927025629,2.635086854634205,4.527529620341518,4.242253495469165,4.274638240654061,4.386068377975133,4.487185496746956,25.0,0.9462387359191168,0.9065138812229396,0.8620066204562767,0.8689076932518639,0.9286076136429069,0.9082323497309129,0.9436206293292158,0.9058235741251117,0.8280412254780767,0.8081910314550282,0.8087108331791347,0.8480443022077502,0.8382113882098965,0.0
owsm4.0-ctc,4.761904761904762,19.04092745476901,13.427377220480668,18.120222376650453,20.01042209484106,21.521625846795207,0.7395562662402558,3.5074589636183973,7.112412622104562,8.099057926705223,7.883924422981742,7.956243561960295,8.756491824772953,3.2304749815655356,4.474470143120482,10.533344160149653,10.393462562988711,11.023286316582002,11.447329167766467,12.222550419188838,3.390440287534985,0.8883773401111869,0.7013812646487046,0.5781952064122339,0.6214184325545653,0.7196891553323365,0.6459843771807514,0.8061438791234923,0.8520034037383568,0.5835343992264623,0.5076413255565073,0.5240561128610162,0.5875421064788214,0.5262172976785368,0.8004679015900715
aya whisper,3.279260422117565,8.203056385034252,4.562870080111459,6.150104239054899,8.58085808580858,6.9654333854438075,0.779532280631621,1.1308756983409622,1.863572341533096,2.16033432195148,2.0662451602655767,1.8775855528948797,2.1739190600932794,1.3636509181535854,1.8792432569787387,3.748793025879131,3.1760520440040048,3.455970564209924,3.779422189156427,3.71378086476519,1.540423417521606,0.9604874938731623,0.9273682856510546,0.8860715084992419,0.8980975015227417,0.9423677501282759,0.9183008425120204,0.9092470124920868,0.9318151360349403,0.8580896784187452,0.8488484728200351,0.8482638761100875,0.8665003356395526,0.8594012787374374,0.9032633269063096
gemma whisper,3.697889412175127,9.678552608466537,5.851619644723093,7.157748436414177,9.101962827861733,8.04238318568699,0.779532280631621,1.1833640354989754,1.9603520807604493,2.2142619709502123,2.1415215408580948,1.9684369144658724,2.3744874331671135,1.4762438399225395,2.026953258296774,4.195264806672891,3.5107214424813646,3.730700754498399,3.9981425763812353,4.130587153062962,1.6503140687765288,0.9565888980795696,0.9156187032103204,0.8745917641184381,0.8760164344037382,0.941492962297806,0.9117818858972104,0.9049271886724127,0.9251306021562343,0.8337615047042135,0.8274516006175835,0.820386656885546,0.8610045409513696,0.8447596643088343,0.8990403952990297
tower whisper,4.1862899005756145,8.888108203056385,6.739811912225706,7.383599722029187,9.518846621504256,8.511377453534827,0.9794123525884469,1.1011023562691993,1.8542479992478211,2.253377935983752,2.030317360761137,1.794727050605951,2.2935070007921703,1.3380923997458163,2.059494161824037,3.8979571785692086,3.784278093525463,3.6820671186097034,3.950739801687764,4.163377506127499,1.561257686156965,0.9619635669542154,0.9288377182951778,0.880141656402043,0.892204932605717,0.9447736020989564,0.925727469119602,0.9093654106110305,0.9253482499474862,0.8522194609302493,0.8262552631411018,0.8328814004199052,0.8600626859916816,0.8536608194686771,0.9015281016460162
aya seamlessm4t,2.4594453165881736,6.516774986825927,3.2044583768721697,5.003474635163308,6.895952753170054,5.158936946326212,1.4591245252848293,1.5448556800957554,2.7162287870371946,2.887740985582184,2.882718665580329,2.6413170483978607,3.060077290522575,1.7026414584719178,2.0948371226752633,4.157451123611021,3.5602704197134614,3.9570783746271516,4.13776502611246,4.129205749190753,2.0132329025203983,0.9307420438569128,0.8667474938545101,0.8080285798326181,0.833459776681877,0.9064099242522813,0.8627722515066671,0.8624636553333637,0.9112915413494137,0.8156628156787227,0.7855480398433896,0.7991502510618012,0.8477984369655274,0.8239368645408636,0.8539351694778802
gemma seamlessm4t,2.7908599337170767,8.062532935183558,4.963427377220481,6.045865184155664,7.6602397081813445,6.791731804759424,0.33979612232660406,1.584475655028765,2.6422216815086452,2.937123087309729,2.8740151167916466,2.795684702978488,3.1718368201662326,1.691316694195464,2.201710201259238,4.407738799764206,3.9905737637733902,4.142642612146411,4.431983160176288,4.574791587808956,1.7683886310974348,0.9284408637068252,0.870486616494156,0.815485381844701,0.8230267067733036,0.901850014196381,0.868509513395713,0.8795322626710009,0.9069085172319857,0.8076694533451357,0.7787862914490787,0.7818944741265694,0.8393066088286087,0.8176053901417648,0.8764843001124765
tower seamlessm4t,3.209488923774638,6.65729843667662,4.980842911877394,6.619179986101459,8.702449192287649,6.6354003821434775,0.43973615830501694,1.616259864910452,2.766012238458011,3.1152700473204415,3.034519915219171,2.8393397372269695,3.3711427311457154,1.7688822304327714,2.312607371733541,4.221634316569773,4.189868229167235,4.414951418314189,4.679732375942456,4.71742580666108,1.8651420386575495,0.9280651522250922,0.8731793826611164,0.8035344497142707,0.8210220325079988,0.8944407076042146,0.8594770660691529,0.8726019896648775,0.9013155777453753,0.8198879252318944,0.766815749073913,0.7759289047790819,0.8236131838935209,0.8097697232725493,0.8686439664366125
