system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,9.549071618037134,6.970509383378016,4.370860927152318,12.582781456953644,15.364238410596027,12.847682119205297,3.9735099337748347,2.4307972022705275,2.9558651243503786,3.3718862178901965,3.315112180287475,3.346542272450316,3.6617383587587353,2.8656262525116767,4.289923358822256,4.346950062313404,4.237783080911794,5.6891695931701864,6.237123792426081,6.154660573202055,3.5469544641722908,0.9334314489238142,0.8897718347748866,0.8379620332887631,0.8528662557929557,0.9218252113964779,0.8806686380545035,0.8381458115696118,0.8456518916852911,0.8354006491941037,0.8063387551351099,0.7536625059432541,0.7844484296855547,0.7762194596773742,0.8024447933135443
canary-v2,5.172413793103448,8.847184986595174,5.960264900662252,7.9470198675496695,9.13907284768212,8.47682119205298,100.0,1.5261732394700815,2.3254924866373354,2.5941789653620972,2.5214718369902758,2.252042633156903,2.4578524669422612,14.982782839386669,2.6951631751178273,4.356772627691481,3.9256011814175062,4.25602266384375,4.271120391697283,4.345465731793484,25.0,0.9541070522142658,0.9181488492693403,0.8738299089157029,0.8771376308127744,0.9393606249662425,0.9213704959446232,0.9640615469967293,0.9053227658376137,0.83910304120175,0.8240749527089644,0.8145336053920108,0.857230575708364,0.8468168014327422,0.0
owsm4.0-ctc,4.111405835543767,20.777479892761395,13.90728476821192,18.41059602649007,18.41059602649007,21.324503311258276,1.3245033112582782,3.273910214590892,6.958710305163033,7.808505823241164,7.69467698342062,7.618238747810686,8.369769874994724,3.1886252727630913,4.121327369807372,10.707212163150391,10.296423092070004,10.92821609463222,10.910905897933127,11.803959710782529,3.4584844426504824,0.8970365199193714,0.7085472638082089,0.5892488976582786,0.633325943567895,0.7331718103676442,0.6608537773521531,0.8102243288660681,0.8638362248158897,0.5768951522860546,0.5146666071864943,0.529902705431774,0.6115606638572074,0.541234254491645,0.8008439996187261
aya_whisper,3.050397877984085,7.506702412868632,4.23841059602649,5.827814569536424,8.874172185430464,6.754966887417218,0.6622516556291391,1.060114673889719,1.7516655616971586,2.036599392685669,1.953534878681827,1.7927582576722894,2.030971830589882,1.2998685343178693,1.767082375753424,3.4916128286537553,2.9816418774080593,3.2728303388254534,3.774461015146102,3.5559388085508976,1.4491611159992535,0.9650564491551181,0.93220226051181,0.8930348205053253,0.9066615879535675,0.9494078919488863,0.9240754516018147,0.9130627073989009,0.9379832779776196,0.8692233749033619,0.858102678956575,0.857979841342825,0.86994856960134,0.8654016330838203,0.9077510847161148
gemma_whisper,3.580901856763926,8.713136729222521,5.827814569536424,7.152317880794702,8.741721854304636,7.9470198675496695,0.7947019867549668,1.0945359520930351,1.829935897940685,2.1269727281880693,2.0164197024130663,1.88805727871838,2.1854542690397096,1.3930461039754334,1.9222474160161986,3.8583821053179754,3.4539205351511373,3.613952375228042,3.892181302873504,3.918413354624186,1.5708325026593857,0.9609462524756829,0.9267972961227952,0.8797608081966836,0.884325145658673,0.9507065035452117,0.9219908994949416,0.9100998828545311,0.929416979971868,0.8520887761748828,0.831108174033907,0.8278527840083798,0.8720602517885878,0.8541268672177333,0.9039585940095762
tower_whisper,3.978779840848806,8.445040214477212,6.622516556291391,7.0198675496688745,9.668874172185431,7.9470198675496695,0.7947019867549668,1.00455025417498,1.744822289994431,2.163708960723798,1.9052553601513635,1.6975255664413338,2.1712602443845066,1.266199924683334,1.9274872015045081,3.7042246298619794,3.694337644906628,3.4887980488702555,3.900377903888557,3.9308311187865717,1.453183708354732,0.9670041296976947,0.9355868568329325,0.8860431253219282,0.9004509497853305,0.9516909635816978,0.9343081472725269,0.9133085872558568,0.9313982453207122,0.8622591486725028,0.8322574720082694,0.8412001498191561,0.8646855204310638,0.865008767018255,0.9068928546266051
aya_seamlessm4t,2.122015915119363,6.434316353887399,3.443708609271523,5.430463576158941,7.417218543046358,5.1655629139072845,1.0596026490066226,1.313659680789875,2.3736973002393187,2.5348749856927144,2.526430578406481,2.329698993699835,2.654886523130911,1.5713187780206566,1.7896806439360116,3.8002692611823132,3.2795715875035483,3.694115427259775,3.957544751110061,3.7503529445077013,1.8037435762534868,0.9477842041743371,0.8835261650283599,0.8265106264921214,0.8530460845654374,0.9276397790537765,0.8779931174504836,0.875827037251943,0.9288885187584937,0.8321560861957297,0.8014739614744849,0.8151828707843427,0.8634215415313544,0.8368421501769925,0.8687528505526632
gemma_seamlessm4t,2.122015915119363,8.176943699731904,5.430463576158941,6.490066225165562,7.417218543046358,7.0198675496688745,0.26490066225165565,1.3820143298391718,2.30626867753491,2.5826372281654386,2.5867202758591694,2.5706372908557094,2.8050315091201408,1.6024173960977832,1.843608040654098,4.128030841336174,3.7529559212064507,3.9445731265507393,4.152236483522401,4.234979760414914,1.6555068110985471,0.9445267774421593,0.889432383546401,0.8396624004011912,0.8431244941539322,0.9194054991105535,0.8826674578600372,0.8934692153768824,0.9281172311472008,0.8246552122022767,0.7994500945538086,0.7971510200607066,0.8578374297709654,0.8302284320261305,0.891230701364034
tower_seamlessm4t,2.9177718832891246,7.104557640750671,5.298013245033113,6.887417218543046,8.609271523178808,6.622516556291391,0.7947019867549668,1.3798777681110868,2.3969077500926663,2.782111104395216,2.721455826995191,2.5762765599205006,3.001963283220269,1.6592786007418932,2.002880992076362,3.951447526692106,3.922862538872965,4.164419801325987,4.411464661497943,4.377987412792563,1.8175626011923054,0.9431141616692593,0.8952800703931589,0.8235664649613645,0.8406557775392438,0.9149328253817874,0.878046362852024,0.889453388188059,0.9171225704667739,0.8387200652094853,0.7848621537353819,0.7899944034337208,0.8420501688951688,0.8269057886588652,0.8825033319509582
