system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,7.549668874172186,6.434316353887399,5.039787798408488,11.258278145695364,14.304635761589404,11.258278145695364,3.443708609271523,2.439493339449562,3.0459482735597176,3.588918696614649,3.5822927164074208,3.4522086962860152,4.0125143729397,2.9737744481605013,3.8926599025084876,4.36882303491854,4.552708237602397,5.545230258458497,6.172252045650751,6.054836836407911,3.5212568834621387,0.9237196356255487,0.879047747661457,0.825369353685281,0.8424631641400571,0.9087458976402583,0.8636892946646703,0.8311555228485966,0.8564781895536461,0.8297307396322569,0.7869514340549628,0.75560450248963,0.784630760737997,0.7770595683562045,0.800691331893403
canary-v2,4.503311258278146,9.517426273458444,6.49867374005305,7.549668874172186,8.741721854304636,8.741721854304636,100.0,1.5522048872038228,2.3398382015746018,2.7949811910484135,2.5077802986103968,2.2583388061268836,2.5374672662096702,14.533638543186598,2.575898745863248,4.465492546997824,4.255625231097643,4.1324878860092324,4.190812908907402,4.464676742852721,25.0,0.9498542126539528,0.9139854682874105,0.8687378243600026,0.8759568402013241,0.9370461393468428,0.9158096964785595,0.9436515545312143,0.910302730131623,0.8348319527091353,0.8129563206703024,0.8149761411922657,0.8588086806583088,0.8415678761455397,0.0
owsm4.0-ctc,4.370860927152318,18.900804289544233,14.190981432360742,18.013245033112582,21.192052980132452,21.324503311258276,0.6622516556291391,3.369279046657662,6.8269865684730595,7.902972604614987,7.743378386202435,7.6948908041249835,8.515812903928836,3.178244291601197,4.277264747294962,10.30228732371498,10.370790699551213,10.964194824526839,11.419907761508266,12.047058736932593,3.321111438635564,0.8944411491124046,0.7212646844180116,0.5914046137398529,0.6285094091138302,0.7383511323013053,0.66198542349978,0.8092462273228247,0.8591875880463233,0.5995515311191773,0.5128658304104596,0.5266189722924043,0.5880080184004954,0.5412634089490436,0.8036167247800637
aya_whisper,3.3112582781456954,8.176943699731904,4.774535809018567,6.225165562913907,9.13907284768212,6.887417218543046,0.6622516556291391,1.1122176925226157,1.786485132564049,2.07537689792185,1.9564765558337534,1.8177998959426058,2.071416163227416,1.3459811823060182,1.8507184969619015,3.6906286875390255,3.1300084283698935,3.359825523049626,3.8343697649161546,3.5892677595086444,1.4937989237095346,0.9640760732604968,0.9357191687374907,0.8908244759160581,0.9038554775103038,0.9499074890913553,0.9237448770380178,0.9108814700944534,0.9350782915061673,0.8657769605557337,0.8521217944135084,0.8538622754693821,0.8693202996688173,0.8646621235060375,0.9059038222230823
gemma_whisper,3.3112582781456954,10.05361930294906,6.10079575596817,7.152317880794702,9.801324503311259,7.9470198675496695,0.6622516556291391,1.1893029485070548,1.8978824055386612,2.1572785080368546,2.101806370247871,1.92734353298087,2.3717978917111626,1.483986285911096,1.9224959015007446,4.206620931125998,3.5005737515141697,3.684237020517027,4.09883342916701,4.097514690458775,1.6360919948149202,0.9582663898041707,0.918941779666388,0.8840066938406592,0.8807251738001969,0.9477988579612694,0.9137962538082868,0.9051172985738476,0.9306906429347613,0.8364291829693733,0.83412893248885,0.8234143829503596,0.8600956282868291,0.8473969664597354,0.8998948249595844
tower_whisper,4.105960264900662,8.579088471849866,7.029177718832891,7.152317880794702,10.066225165562914,8.211920529801324,0.9271523178807948,1.060347391082751,1.7624851636608547,2.1985990201723355,1.9309237203258551,1.7434519365873953,2.2078861834148302,1.312504171229751,1.9875703091554295,3.7464111654272667,3.798852526481493,3.527257013937693,4.001272686422858,3.9991385443271787,1.5236365812207688,0.9656118801295362,0.9359941691479798,0.882569739787743,0.8990296092254436,0.9511680193886851,0.9337425480812591,0.9122438299340128,0.9297288844127529,0.8616940316422056,0.8265593274242049,0.8408116417017993,0.861028541654151,0.8631204738522208,0.9046113823225956
aya_seamlessm4t,2.384105960264901,6.166219839142091,2.7851458885941645,4.635761589403973,6.490066225165562,4.900662251655629,0.9271523178807948,1.3874243509739834,2.460075738153173,2.685057227645534,2.682277166275986,2.4496351764296853,2.7904282403998817,1.67685914590264,1.941031586260393,3.8509485337573626,3.3034086051725584,3.6956697112529087,3.885668268740572,3.8282029219711853,1.8737836217051311,0.939247536452006,0.8769370107524517,0.81630181329478,0.8430265081540638,0.9169003476172883,0.870721057906056,0.8683577493918653,0.9185122844497889,0.8273022968232152,0.7947290765432844,0.8094463380658073,0.8595280935235371,0.8357482586475398,0.8633775582968793
gemma_seamlessm4t,2.781456953642384,7.774798927613941,4.641909814323608,5.827814569536424,8.079470198675496,6.357615894039735,0.13245033112582782,1.3673342287145702,2.3917673137738062,2.71889350108743,2.651248029925373,2.6489785649030413,2.944359878070702,1.6293999800470886,2.000131409116928,4.114433489984585,3.734255455750527,3.910300406917239,4.373276652454935,4.2911146175288994,1.657813740630221,0.9395966769251602,0.8808316597190683,0.8194959838664658,0.8364027919654815,0.9109224256004719,0.8765402783719909,0.886100689405637,0.915835380238413,0.8197239118530827,0.7824910809866471,0.7947052482836294,0.8449654165087946,0.8284705385664441,0.8856822280891684
tower_seamlessm4t,3.3112582781456954,6.568364611260054,4.907161803713528,6.225165562913907,9.006622516556291,6.887417218543046,0.26490066225165565,1.4594037329124299,2.537211519648538,2.966694790958884,2.895656356689156,2.688756913543734,3.1418565854824934,1.7228071901527857,2.191452890121384,3.9970040572482604,4.066010572569598,4.204268692009497,4.596430111844216,4.5963696597921135,1.779668073183456,0.9360476620445978,0.8841007168207508,0.810792947351063,0.8299295247859315,0.9053828419044317,0.8698742748293655,0.879900659314844,0.9075993500107171,0.8312302557476884,0.7721951570885567,0.7872311743950804,0.8317782531905648,0.8178020546965251,0.8775504359346352
aya_canary-v2,3.3112582781456954,8.310991957104557,4.244031830238726,5.827814569536424,9.006622516556291,7.28476821192053,0.6622516556291391,1.158748137166366,1.8564258253666255,2.1264071129805924,2.0141665265013446,1.926759831306358,2.1747822067348768,1.400667212015351,1.8970023547675436,3.8004508231574263,3.0797326355994694,3.339832010352059,3.936963379254799,3.7707349270779567,1.5511465466476435,0.9600703366742229,0.9328033199518839,0.8873736061333661,0.9033416272591281,0.9452987036957646,0.9209133884073882,0.9088727255925437,0.9319053269774709,0.8591238405185954,0.8514709830758426,0.8554129890061373,0.8657662600278855,0.8620316959868204,0.9042645313092414
gemma_canary-v2,3.708609271523179,9.785522788203753,6.10079575596817,7.549668874172186,9.801324503311259,8.609271523178808,0.5298013245033113,1.1965911713262267,1.8962653947210104,2.212687460389433,2.1724514213026755,1.981250957350265,2.2317888010712648,1.4393128498993961,2.050974700511094,4.184486870571532,3.566861071166847,3.8439457625249362,4.175958273554874,4.123263160968261,1.5640263416070417,0.9587885543210617,0.9239697942145708,0.8802889333716755,0.8804806086598642,0.9408295416378027,0.9155276072834502,0.9077986877090883,0.9275231104418142,0.8371822392772733,0.830814655208145,0.8210385404379162,0.8567519467003298,0.8456780427339061,0.9037614650876317
