system,LinguaPy,,,,,,metricx_qe_score,,,,,,QEMetricX_24-Strict-linguapy,,,,,,xcomet_qe_score,,,,,,XCOMET-QE-Strict-linguapy,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-de,en-es,en-fr,en-it,en-nl,en-pt
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,6.5420560747663545,6.845637583892618,4.244031830238726,9.416445623342176,11.803713527851459,8.620689655172415,2.99060050492114,3.9532399515777628,4.412167252898612,4.2779621293654655,4.007298749137857,5.161578637322989,4.259939688025353,5.228025843413084,5.217691619818739,6.0291684834084,6.206019653615095,6.667602798414839,0.8840976855077237,0.8207831692775623,0.7572558215307936,0.78823483517932,0.8661131106060127,0.7927269241537909,0.8323922245868933,0.7777516940896143,0.7349256049021485,0.7287519635825321,0.7715656805378373,0.7351658768477586
canary-v2,3.337783711615487,9.12751677852349,6.631299734748011,6.10079575596817,8.488063660477453,7.6923076923076925,1.9352110365532507,2.8085326450783135,3.189162778364252,2.988192706885167,2.7567183591119093,3.0349436917883255,2.6646204962679874,4.748225672713062,4.539641176278774,4.262625531607187,4.571298764969176,4.614126450557568,0.9337884602205299,0.8877483827455732,0.8425474399379616,0.8465721499204477,0.9146097182081296,0.8942439249600592,0.9057832534446099,0.8175765319358582,0.7934178139629036,0.8012177319974892,0.8420681997896505,0.8376386429551268
owsm4.0-ctc,5.473965287049399,18.25503355704698,12.599469496021221,17.639257294429708,18.96551724137931,18.83289124668435,4.048279326742338,7.637773745522003,8.594853085492904,8.435669409111142,8.584584334465015,9.271928501228953,5.1255332015564194,10.820081831214813,10.639114338618059,11.354611086874055,11.789608455542227,12.190590795737243,0.8658537778142934,0.6679425811807581,0.5452662655683506,0.5915748237555634,0.6900370325053244,0.6232968349434653,0.8274561228536477,0.559305615773137,0.4856738506838561,0.5054532922211471,0.5691203366006559,0.5224490308793217
aya_whisper,3.204272363150868,7.651006711409396,4.111405835543767,5.968169761273209,9.151193633952255,5.835543766578249,1.2904241726508685,2.093513813459833,2.4135431639395595,2.325212705826056,2.0878647098549954,2.465418557826657,2.005589733897486,3.8125921551513193,3.310623946098181,3.6605599732422305,4.091346507570867,3.7063982240875455,0.9576181015758234,0.9155978007304588,0.8729380671261002,0.8876414359683067,0.9370848690048453,0.9110550127468944,0.9307637425345955,0.8532881386828103,0.841195273462594,0.8405296529695115,0.8568648213930724,0.8633349345161997
gemma_whisper,3.337783711615487,9.395973154362416,5.570291777188329,7.427055702917771,8.222811671087534,6.896551724137931,1.3542533154998506,2.204151728924289,2.5405463477898023,2.3863317581876835,2.20341399436031,2.6087412712873213,2.0974852316260577,4.373633716205423,3.7428360559658915,4.004693947119802,3.9821189206972996,4.0750116445717035,0.9508550715382809,0.9039272812388888,0.8521324001667671,0.8602386393463264,0.9323870752708349,0.9045034320703869,0.9241007692485212,0.8263889944693387,0.8100502500088208,0.8052211492878214,0.8617597218276809,0.8494998222261431
tower_whisper,3.7383177570093453,8.993288590604028,6.49867374005305,7.6923076923076925,9.151193633952255,8.222811671087534,1.2456295029950317,2.0638247617039105,2.4913033368634134,2.2566080688639722,2.0347638003804795,2.5634300960993657,2.087551726145205,4.083024628720428,3.944703939966166,3.915822932990737,4.085657054543574,4.3038371805378315,0.9566460004118638,0.9211345071860608,0.8683349281272774,0.8812076039513479,0.9369861509957269,0.9164547936333743,0.9255553088555031,0.8462850238452821,0.8184716350124749,0.8218985041035265,0.8569790559872709,0.8505332519742475
aya_seamlessm4t,2.2696929238985315,6.7114093959731544,2.9177718832891246,4.907161803713528,6.763925729442971,4.774535809018567,1.9670298014915435,3.276863926719099,3.463632734685109,3.5105995945533643,3.126081988719398,3.69536073025148,2.472352840966273,4.724877966380359,4.014804616293794,4.52117113716683,4.572257910556202,4.628558294976066,0.9087468498300647,0.8381401715262624,0.7745363968338037,0.8033044589510488,0.880982402356376,0.8341231363027577,0.8917136518794481,0.7892792432000173,0.7542605259473033,0.7738002346388857,0.8236283999756572,0.7997191439256744
gemma_seamlessm4t,2.803738317757009,7.785234899328859,4.774535809018567,5.968169761273209,7.294429708222812,5.968169761273209,1.916255777773854,3.3208327869040852,3.5250614609579194,3.483908754286779,3.219813880883651,3.84621403427592,2.5377274649901604,4.96276149379727,4.524870470087155,4.703832188645867,4.775877681024748,5.011478157511441,0.9062810464599264,0.8442943463989552,0.7840925659638501,0.7938603654167854,0.8805815379286002,0.845157183746286,0.8850081848087553,0.7864862825346474,0.7479254810401395,0.7556305917113308,0.8219680877832266,0.8014164941499025
tower_seamlessm4t,3.6048064085447264,6.845637583892618,4.641909814323608,6.631299734748011,8.620689655172415,6.763925729442971,1.9729955474359888,3.3197660119641546,3.6255267608308035,3.565440125239702,3.232895412440325,4.029353555573511,2.7251281135719276,4.803749893425695,4.5930831746176,4.869372615590692,5.045708086568892,5.330544294305245,0.9091990418702324,0.849802333406554,0.7701493123995846,0.7943720795036311,0.871546170973177,0.8351764598520428,0.8809531366176535,0.7963803218315112,0.7370527282515318,0.7524283989690818,0.8008080862502046,0.7895271966545114
aya_canary-v2,2.803738317757009,8.187919463087248,3.978779840848806,5.702917771883289,8.488063660477453,5.570291777188329,1.4667536918427024,2.311908570096997,2.6446187228152147,2.5338642702237837,2.343401544349421,2.6650345568206726,2.081564803661229,4.112720117542968,3.4607695974508395,3.795543892304129,4.201199268334266,3.8395963248250813,0.9473842840606921,0.9064968428655759,0.8579225813876097,0.8778962485531755,0.9301244548326778,0.9007550354859241,0.9250296008921115,0.841811022002425,0.8259299672369299,0.8338703576485264,0.8570017520960825,0.8552721444547018
gemma_canary-v2,3.6048064085447264,9.395973154362416,6.23342175066313,7.6923076923076925,7.427055702917771,7.029177718832891,1.4711950185381681,2.3878103692659596,2.6215869565679637,2.6142397058747253,2.3427395578473806,2.734688677264264,2.264683247512786,4.494143881333755,3.9539029876002423,4.271274806239917,3.9847496866102796,4.282322465602694,0.9447490488078311,0.8944912964265619,0.840958845917758,0.8578908258767438,0.9257773336032974,0.8956457807309431,0.9159371592552067,0.8190194392864336,0.7956147888077507,0.7989681385734195,0.8617532606229226,0.840355374353792
tower_canary-v2,3.871829105473965,8.590604026845638,6.10079575596817,7.5596816976127315,8.885941644562333,6.763925729442971,1.4141510377907864,2.279000310559801,2.709359417098824,2.4626883912080557,2.2363276245363988,2.7871627242104284,2.252502087026198,4.17087302955005,4.018084067278183,4.098591699114253,4.191864340756315,4.203906416626207,0.9491104809878188,0.9071494724326485,0.8526020150443919,0.8670586796097003,0.9290131472485925,0.9060513317110684,0.9177985337571563,0.8385083625980672,0.8059228901165866,0.8090783858607555,0.8536589240225462,0.8498054617121618
