system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,8.233731739707835,6.577181208053691,4.780876494023905,10.344827586206897,13.395225464190982,11.803713527851459,1.8567639257294428,2.4536265732787284,3.209479628818347,3.572164519067859,3.4679331934420436,3.5089214657895287,3.9942923125561416,2.8205518596892096,4.098883309801064,4.596765603815149,4.4608337787458625,5.505202376859297,6.010149552637528,6.231656999364298,3.146574514564769,0.9176619201304903,0.872111997358351,0.8121868082152737,0.8310419990327852,0.9041083248712577,0.871463557324849,0.8219007554832125,0.8477280788212659,0.8216738577157059,0.7805550875139743,0.7568168163951733,0.7919140869469953,0.77636137995029,0.8052568186657498
canary-v2,4.382470119521913,8.859060402684564,6.507304116865869,7.427055702917771,8.355437665782492,7.5596816976127315,100.0,1.5940120927940011,2.381916769423941,2.856683641266459,2.6860452205614638,2.495624897966967,2.606754899296702,14.642665415014132,2.5938179864490016,4.383790786399337,4.316833418075386,4.281382911361813,4.353427610224217,4.30687833693501,25.0,0.9472929226410183,0.9026463865833795,0.8597123518605948,0.8639547726539624,0.9272111341436282,0.9064185355718319,0.941237115190026,0.9089580174105101,0.8282084739248224,0.8049327561936056,0.8072676995783965,0.8522596540873183,0.8441559633521724,0.0
owsm4.0-ctc,4.648074369189907,19.59731543624161,13.811420982735722,18.30238726790451,20.291777188328915,23.740053050397876,0.2652519893899204,3.5284964707228608,7.099122204836583,8.255673279760686,7.841963070995651,7.962856691261502,8.80158235103544,3.227501629350277,4.437230302062959,10.570009142680457,10.494618152440149,10.95557030085326,11.530710013479547,12.40013768710196,3.291497489649911,0.8891425617682348,0.7010467137366333,0.5748684172175953,0.6255371607049549,0.718836946961339,0.6404543085621586,0.8044648282328715,0.8544935526976865,0.5821216526547535,0.5060698118402188,0.5299133693290484,0.5850788128984702,0.5136797229416016,0.8019944993428273
aya_whisper,3.054448871181939,8.187919463087248,4.648074369189907,5.968169761273209,8.222811671087534,6.896551724137931,0.6631299734748011,1.1577717368732172,1.884287657058679,2.2108157606001395,2.1331351928916864,1.9101925139866314,2.2108916153721214,1.416380673162738,1.853192826720625,3.7558892071097087,3.2436135336459873,3.4697915916071724,3.7174197439875067,3.7315725384561707,1.5643944593161265,0.9607355373195443,0.9263149424887344,0.8827008585709025,0.8961625171415212,0.9424423433504306,0.9151019706571134,0.9054877530556142,0.9333031577655518,0.8578274628860039,0.8449722577534508,0.8475826939355473,0.8702045518815992,0.8575915264099125,0.9005035035292412
gemma_whisper,3.851261620185923,8.993288590604028,5.9760956175298805,6.763925729442971,9.018567639257293,7.161803713527852,0.6631299734748011,1.2359008624961731,1.9695048732745568,2.2563602060851347,2.2080580676937926,2.024902716061639,2.3682452316349,1.5471324266900435,2.1071452337105674,4.020662873393337,3.569110900965107,3.696946774300593,4.016506591095374,3.949109474152564,1.6935015589947409,0.9541236357701569,0.9160024413126427,0.8743265188171727,0.8771792841724438,0.938201914356147,0.9063462720842987,0.9029204714401015,0.9211357778920278,0.8399917452927403,0.825427332435392,0.8253457409771905,0.8577934883791825,0.8482210739498429,0.8978743601778142
tower_whisper,3.851261620185923,8.724832214765101,6.640106241699867,7.294429708222812,9.416445623342176,8.620689655172415,1.0610079575596816,1.1187959355543333,1.8988271136811916,2.2894888815394596,2.0883177098291936,1.8532430621985574,2.3206478611761283,1.3630960489961688,1.99084146401955,3.8922779649696095,3.788904773435032,3.717218086701529,3.971807675520131,4.198487894634274,1.597529215224344,0.9616447455023389,0.9269199504948302,0.8804677229320227,0.8892295407699495,0.9436946765418395,0.9253339807080495,0.9083401577581778,0.9284738355661294,0.8525853732288283,0.8262790013277831,0.8311810397224337,0.8603853948750294,0.8537754101446516,0.8997101255294815
aya_seamlessm4t,2.3904382470119523,6.577181208053691,3.718459495351926,5.172413793103448,6.763925729442971,5.172413793103448,1.7241379310344827,1.5453657628461264,2.705439263407216,2.876007460141839,2.855323923381159,2.6394246070144267,3.073493602584346,1.6787645982217725,2.083576203233613,4.1418594322448605,3.660382697603617,4.004854823420669,4.063194305831146,4.148391525125235,2.051970193671453,0.9256145103796228,0.8593209203957711,0.8066825483681987,0.8304577593442142,0.9039590864760965,0.8556551898209581,0.8581292348115925,0.9070531594484135,0.8078920060556207,0.7801468180292156,0.7938074019468273,0.8472767368710009,0.8180378341963341,0.8479123091132477
gemma_seamlessm4t,2.3904382470119523,8.322147651006711,5.179282868525896,5.835543766578249,8.355437665782492,7.161803713527852,0.6631299734748011,1.6484516370165871,2.636264334964072,3.0275480631407437,2.8293459792609084,2.8492251534449724,3.07795873917244,1.6562098694387182,2.1652277814667142,4.435033070501065,4.110682067326499,4.0935883185225945,4.610984725635548,4.501244502048198,1.8087157759548655,0.9231886459813808,0.8671286613449154,0.8128754269593899,0.8156568167400139,0.9006179722930139,0.8656921083952451,0.8778861334315188,0.9076190429973412,0.8027556031442329,0.7759014887025315,0.7727084705699976,0.8321565482123144,0.8139090245238824,0.871564630735221
tower_seamlessm4t,3.187250996015936,6.308724832214765,5.577689243027888,6.896551724137931,8.620689655172415,6.36604774535809,0.5305039787798408,1.5746668861661932,2.7736703388642945,3.104153835554799,3.047480831382208,2.848616803484902,3.3076328940699447,1.783685654505534,2.2846968677958563,4.122588124236205,4.3233794060796695,4.510113552291767,4.685145320183047,4.6066734352660434,1.9065491101489618,0.9257910045811222,0.8696646682368029,0.7981160633058187,0.8205999455931016,0.891827546880242,0.8566022852351716,0.8665219580245745,0.8995051825169231,0.8195850123695079,0.7587026329055567,0.7723939280255404,0.8227943358769941,0.8099691794804774,0.8615412460022485
