system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,7.047872340425531,5.23489932885906,4.1278295605858855,10.344827586206897,11.920529801324504,9.403973509933774,2.251655629139073,3.0980403565831405,3.9180611857131824,4.4203861869881536,4.236066439290301,4.143798821853683,4.788295716067023,3.1670893925112606,4.408103882993988,4.953814843026984,5.239601961048084,6.087060209556387,6.405469629568177,6.444463051214123,3.5532003909744176,0.8873423005236273,0.8220015485614738,0.7589487294442009,0.7889250913234699,0.8639443471090288,0.8188048618222704,0.791168744378532,0.830464878287959,0.7893558109166638,0.734126463353872,0.723595284380078,0.7716200709935056,0.7507744215872904,0.7726935113305288
canary-v2,3.723404255319149,8.993288590604028,5.9920106524633825,7.6923076923076925,9.668874172185431,8.344370860927153,100.0,1.7539524650300278,2.6135014680307984,3.0511807172141285,2.8092807902304817,2.5774565320733367,2.9612723691277947,14.379401608966043,2.607216754145524,4.61528080547816,4.363565088290667,4.3863132159060125,4.634796295023912,4.7354828044377415,25.0,0.9329040851939391,0.8900927586943511,0.8404666417825238,0.8526708131028581,0.9135855267971557,0.886997898209174,0.9300098692640564,0.9013332412380012,0.8163316828892535,0.7915558059329041,0.798643552389401,0.8340711209059551,0.8227488867593128,0.0
owsm4.0-ctc,5.053191489361701,20.268456375838927,15.046604527296935,19.363395225464192,22.649006622516556,21.58940397350993,0.7947019867549668,4.148147353639906,7.725574367848418,8.721388449443483,8.403264086668822,8.440356667695061,9.416586940799723,3.7401346544753635,5.104166030383451,11.28309618959691,11.139185632751404,11.706374284882958,12.17769535855939,12.69238483249549,3.89481705971901,0.8566010869207218,0.6656277612351731,0.5438903593191612,0.5972704146185825,0.6813539347506516,0.6060858775152276,0.765564571084171,0.8215408372058672,0.548485142892639,0.474299829815342,0.49845978145336917,0.5456145085641091,0.49746074038033455,0.7612425960353668
aya_whisper,3.0585106382978724,8.724832214765101,4.26098535286285,6.10079575596817,8.079470198675496,6.622516556291391,0.6622516556291391,1.2660302830850112,2.0368717135749006,2.3531232817810324,2.2383583734152883,2.0484891435168437,2.389177457302414,1.4424478931340161,1.938966994862409,3.9474057406137053,3.2697086234523676,3.5642422717953948,3.822223538041904,3.79147667146183,1.592668735132312,0.9529480486117462,0.91550000692974,0.8698109331703218,0.8859626091720255,0.9306492799856015,0.9038958785648378,0.8985435565773225,0.9277751862784808,0.8460206514036895,0.8370990471619264,0.8390171607704314,0.8613453459660738,0.8527070378230897,0.8935534875716594
gemma_whisper,2.7925531914893615,9.798657718120806,5.59254327563249,7.294429708222812,8.874172185430464,7.152317880794702,0.7947019867549668,1.2618833185282556,2.152263146303844,2.3088994470738697,2.3085632934642644,2.1718049595687563,2.6755591854403744,1.546263755848076,1.8666065824168556,4.355149347135084,3.4981694988678202,3.875557938170686,4.0801951791869095,4.142513955591728,1.7012808098106196,0.9515864113246665,0.8970968982517319,0.862000406254703,0.8629095265715919,0.9316814922733813,0.8987753265444806,0.8958324968716167,0.9302090941036635,0.8175365817526843,0.8209725970652862,0.8101792795983803,0.8578320508958488,0.8443000732668188,0.8909989057984573
tower_whisper,4.122340425531915,8.590604026845638,6.790945406125166,7.824933687002653,9.403973509933774,8.079470198675496,1.0596026490066226,1.2724817587419393,1.956912820341203,2.442054441067255,2.2134163183473863,1.9492451332953593,2.524047411583512,1.4394333406444022,2.172279349330099,3.8669327779204252,3.940574252176856,3.9041236401967883,4.034115474360274,4.269386253560221,1.6675533600644954,0.9531983505498539,0.915661370974259,0.8682936377595173,0.8782741221987126,0.9338910002088705,0.9098359247805267,0.9000405330136911,0.9195963583510132,0.8457911229073601,0.8174100171392672,0.8192790270503857,0.8535679959599546,0.8452433620067622,0.8919881333381134
aya_seamlessm4t,3.1914893617021276,6.577181208053691,3.3288948069241013,4.774535809018567,7.682119205298013,5.298013245033113,1.456953642384106,2.0003121245919946,3.3953334870654466,3.566839199369344,3.4655080039686563,3.2431869586177218,3.814338977023071,1.9829870391563074,2.684966795151419,4.779679119296922,4.218609916822571,4.444683555627257,4.887993643615419,4.853954292537756,2.293792912916632,0.9013927290909627,0.8286475956239956,0.7646119430184999,0.7947296235087854,0.8677531917758335,0.8224983095135909,0.8270363131106294,0.8775431328017186,0.7799655570679863,0.7433301036887258,0.7664707232395123,0.8076322234426903,0.7837757514407303,0.8192384027092662
gemma_seamlessm4t,3.723404255319149,8.590604026845638,5.59254327563249,7.161803713527852,7.417218543046358,6.0927152317880795,0.3973509933774834,2.1237727489490856,3.162721345308643,3.6239823051263267,3.553253934958293,3.4269643619409855,3.845970679488995,2.015775960915728,2.9537937371208867,4.907103913362394,4.77535056209715,4.954054437108358,4.929822498860935,5.042550486617333,2.1092430399299062,0.8986937484921927,0.8330662572743909,0.7673391671318031,0.7823362289495588,0.8672448698061191,0.8320326515578276,0.8435687506731773,0.8703071975763491,0.7725937174870664,0.7287598244062118,0.7396140920210739,0.8130386366453392,0.7874997908311174,0.8397645920613743
tower_seamlessm4t,3.324468085106383,7.114093959731544,4.793608521970706,7.427055702917771,8.741721854304636,6.357615894039735,0.3973509933774834,2.0977114575538547,3.3867217520089357,3.719295110846169,3.583056881213536,3.3915847554112113,4.128623307945317,2.023749344539366,2.8208661561217556,4.8379850619341305,4.7042444312024845,5.082300902697547,5.215256294864693,5.311116694229723,2.113381578496947,0.8996350898882969,0.8317611005382249,0.7599705604317979,0.7800831643553248,0.8594653373325107,0.815584763035869,0.8401369361490604,0.8720464785385164,0.7805815576306926,0.7258416653453272,0.735309597302416,0.7904243776537725,0.771732700206586,0.8364622094575932
aya_canary-v2,3.0585106382978724,7.785234899328859,3.9946737683089215,5.702917771883289,8.211920529801324,6.225165562913907,1.0596026490066226,1.3890354229840747,2.0830283353442716,2.4177097686022004,2.3830422178325823,2.212340663985306,2.4858537419495597,1.524488418761468,2.0521996121883315,3.876951036002212,3.296840787162079,3.6361597249042292,3.994913093291766,3.8184323838363023,1.757260404734422,0.9448309303657647,0.9100973802624933,0.8671496217938937,0.879974891666313,0.9268524994222533,0.8996068156219477,0.8926630089022466,0.9204001297104232,0.8436191466030658,0.834380463479997,0.8373190878102412,0.8582767554367615,0.8505369869782435,0.8864904381976222
gemma_canary-v2,3.723404255319149,9.261744966442953,5.459387483355526,6.23342175066313,8.609271523178808,6.887417218543046,0.7947019867549668,1.3975765798439055,2.228120536262157,2.5568938653434956,2.46322075109583,2.2516601149264157,2.7110704773703946,1.5621657873423684,2.234137086376072,4.3623563048123515,3.7299373249179832,3.8085572685384306,4.116415296509763,4.195088504560736,1.7411131974679745,0.9401251437697322,0.8972023753411817,0.8529297479499037,0.8506601928024299,0.9238654201689935,0.894731501188894,0.8883186285266813,0.9107734601290778,0.8215592317333158,0.8112753782962039,0.8046177570023808,0.8521285366637028,0.8365240684112176,0.8825724442470942
