system,accuracy_ne,,,accuracy_term,,
,en-es,en-fr,en-it,en-es,en-fr,en-it
whisper,0.0,0.0,0.0,0.0,0.0,0.0
seamlessm4t,65.62881562881563,59.53905249679897,58.663028649386085,75.69496619083395,72.75195113674924,65.21344232515894
canary-v2,70.94017094017094,67.41357234314981,64.12005457025921,80.954169797145,82.1174075330845,77.29336966394187
owsm4.0-ctc,46.52014652014652,42.18950064020486,40.586630286493865,69.98497370398196,67.119104173736,56.902815622161675
aya whisper,25.274725274725274,5.569782330345711,23.124147339699864,33.47107438016529,6.820495419070241,29.70027247956403
gemma whisper,4.700854700854701,7.490396927016646,3.0013642564802185,5.447032306536439,9.161859518154055,2.7702089009990916
tower whisper,69.59706959706959,68.75800256081946,63.915416098226466,82.1938392186326,82.7621309806583,78.24704813805631
aya seamlessm4t,70.51282051282051,7.298335467349553,48.908594815825374,81.36739293764087,7.4652188666440455,62.44323342415985
gemma seamlessm4t,14.041514041514041,23.367477592829704,12.346521145975444,16.641622839969948,29.250084832032574,15.349682107175294
tower seamlessm4t,71.30647130647131,67.9257362355954,63.64256480218281,82.64462809917356,82.32100441126569,79.01907356948229
aya canary-v2,57.87545787545788,66.19718309859155,53.883495145631066,68.63260706235913,81.13335595520869,68.65671641791045
gemma canary-v2,16.483516483516482,15.108834827144687,3.819918144611187,17.731029301277236,18.08618934509671,3.451407811080836
tower canary-v2,71.73382173382173,69.01408450704226,64.66575716234652,83.20811419984973,83.10145911096029,79.01907356948229
aya owsm4.0-ctc,52.62515262515263,6.46606914212548,24.351978171896317,65.81517655897822,7.261621988462844,31.92552225249773
gemma owsm4.0-ctc,4.151404151404151,4.673495518565941,10.845839017735335,4.808414725770098,5.395317271801833,14.441416893732969
tower owsm4.0-ctc,54.21245421245421,51.08834827144686,47.0668485675307,66.190833959429,66.1689854088904,61.98910081743869
desta2-8b,8.302808302808302,7.490396927016646,1.6371077762619373,10.668670172802404,9.399389209365456,1.0445049954586738
qwen2audio-7b,5.372405372405373,10.371318822023047,8.935879945429742,6.799398948159278,12.487275195113675,8.810172570390554
phi4multimodal,62.698412698412696,45.26248399487836,55.04774897680764,71.29977460555973,55.34441805225653,69.70935513169846
voxtral-small-24b,69.78021978021978,66.90140845070422,64.12005457025921,79.60180315552216,82.4567356633865,76.93006357856494
spirelm,68.92551892551893,65.55697823303457,65.00682128240109,77.98647633358378,76.34882931795046,73.56948228882834
