system,accuracy_ne,accuracy_term
aya_canary-v2,66.19718309859155,81.13335595520869
aya_owsm4.0-ctc,6.46606914212548,7.261621988462844
aya_seamlessm4t,7.298335467349553,7.4652188666440455
aya_whisper,5.569782330345711,6.820495419070241
canary-v2,67.41357234314981,82.1174075330845
desta2-8b,7.490396927016646,9.399389209365456
gemma_canary-v2,15.108834827144687,18.08618934509671
gemma_owsm4.0-ctc,4.673495518565941,5.395317271801833
gemma_seamlessm4t,23.367477592829704,29.250084832032574
gemma_whisper,7.490396927016646,9.161859518154055
owsm4.0-ctc,42.18950064020486,67.119104173736
phi4multimodal,45.26248399487836,55.34441805225653
qwen2audio-7b,10.371318822023047,12.487275195113675
seamlessm4t,59.53905249679897,72.75195113674924
spirelm,65.55697823303457,76.34882931795046
tower_canary-v2,69.01408450704226,83.10145911096029
tower_owsm4.0-ctc,51.08834827144686,66.1689854088904
tower_seamlessm4t,67.9257362355954,82.32100441126569
tower_whisper,68.75800256081946,82.7621309806583
voxtral-small-24b,66.90140845070422,82.4567356633865
whisper,,
