system,accuracy_ne,accuracy_term
aya_canary-v2,53.883495145631066,68.65671641791045
aya_owsm4.0-ctc,24.351978171896317,31.92552225249773
aya_seamlessm4t,48.908594815825374,62.44323342415985
aya_whisper,23.124147339699864,29.70027247956403
canary-v2,64.12005457025921,77.29336966394187
desta2-8b,1.6371077762619373,1.0445049954586738
gemma_canary-v2,3.819918144611187,3.451407811080836
gemma_owsm4.0-ctc,10.845839017735335,14.441416893732969
gemma_seamlessm4t,12.346521145975444,15.349682107175294
gemma_whisper,3.0013642564802185,2.7702089009990916
owsm4.0-ctc,40.586630286493865,56.902815622161675
phi4multimodal,55.04774897680764,69.70935513169846
qwen2audio-7b,8.935879945429742,8.810172570390554
seamlessm4t,58.663028649386085,65.21344232515894
spirelm,65.00682128240109,73.56948228882834
tower_canary-v2,64.66575716234652,79.01907356948229
tower_owsm4.0-ctc,47.0668485675307,61.98910081743869
tower_seamlessm4t,63.64256480218281,79.01907356948229
tower_whisper,63.915416098226466,78.24704813805631
voxtral-small-24b,64.12005457025921,76.93006357856494
whisper,,
