system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,inf,85.31,22.07
seamlessm4t,both,inf,80.29,19.57
canary-v2,both,inf,83.69,20.65
owsm4.0-ctc,both,101.7,97.1,35.73
gemma_whisper,both,inf,67.25,19.73
tower_whisper,both,inf,66.31,19.26
aya_whisper,both,inf,63.96,18.09
aya_seamlessm4t,both,,69.64,17.75
gemma_seamlessm4t,both,inf,72.6,20.03
tower_seamlessm4t,both,,71.33,18.77
aya_canary-v2,both,inf,65.46,21.13
gemma_canary-v2,both,inf,68.17,21.97
tower_canary-v2,both,inf,68.02,21.52
aya_owsm4.0-ctc,both,,73.4,26.57
gemma_owsm4.0-ctc,both,104.0,77.37,28.51
tower_owsm4.0-ctc,both,inf,100.0,100.0
desta2-8b,both,inf,86.47,40.08
qwen2audio-7b,both,101.68,87.88,31.33
phi4multimodal,both,101.5,80.62,12.29
voxtral-small-24b,both,,61.22,13.18
spirelm,right_only,,,
