system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,101.0,66.15,7.76
canary-v2,both,,64.75,7.86
owsm4.0-ctc,both,105.0,94.59,14.04
gemma_whisper,both,inf,35.15,5.49
tower_whisper,both,inf,35.83,5.53
aya_whisper,both,inf,31.94,5.42
aya_seamlessm4t,both,,29.9,6.01
gemma_seamlessm4t,both,inf,34.48,6.05
tower_seamlessm4t,both,,31.14,6.3
aya_canary-v2,both,,28.1,5.09
gemma_canary-v2,both,,34.78,5.1
tower_canary-v2,both,,33.82,5.33
aya_owsm4.0-ctc,both,,46.23,9.76
gemma_owsm4.0-ctc,both,,52.21,9.04
tower_owsm4.0-ctc,both,,99.59,85.16
desta2-8b,both,inf,75.2,12.7
qwen2audio-7b,both,101.25,81.43,6.79
phi4multimodal,both,100.95,91.49,0.96
voxtral-small-24b,both,,7.01,3.09
spirelm,both,103.0,86.22,43.82
