system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,99.0,11.49,10.49
canary-v2,both,99.25,11.0,10.24
owsm4.0-ctc,both,98.93,21.44,20.48
gemma_whisper,both,98.0,7.84,8.3
tower_whisper,both,98.0,8.12,8.03
aya_whisper,both,99.0,7.54,7.64
aya_seamlessm4t,both,98.75,9.24,9.43
gemma_seamlessm4t,both,98.5,9.08,8.92
tower_seamlessm4t,both,98.5,9.85,9.45
aya_canary-v2,both,99.0,8.94,8.36
gemma_canary-v2,both,99.0,8.11,8.53
tower_canary-v2,both,99.0,9.17,8.73
aya_owsm4.0-ctc,both,96.0,15.04,15.26
gemma_owsm4.0-ctc,both,96.5,14.78,16.01
tower_owsm4.0-ctc,both,100.0,99.35,84.45
desta2-8b,both,95.0,16.97,19.18
qwen2audio-7b,both,98.89,8.66,9.88
phi4multimodal,both,99.02,3.81,4.24
voxtral-small-24b,both,99.33,4.57,6.01
spirelm,both,98.25,48.07,47.07
