system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,,11.62,15.05
canary-v2,both,-inf,11.66,13.44
owsm4.0-ctc,both,98.4,20.67,21.0
gemma_whisper,both,96.0,7.7,9.84
tower_whisper,both,98.0,7.88,9.92
aya_whisper,both,99.0,7.74,9.86
aya_seamlessm4t,both,99.0,9.26,12.1
gemma_seamlessm4t,both,99.0,9.01,12.33
tower_seamlessm4t,both,99.0,9.57,12.56
aya_canary-v2,both,-inf,8.5,11.18
gemma_canary-v2,both,99.0,7.87,10.77
tower_canary-v2,both,99.5,8.34,10.73
aya_owsm4.0-ctc,both,-inf,12.82,19.08
gemma_owsm4.0-ctc,both,-inf,13.83,19.0
tower_owsm4.0-ctc,both,100.0,99.23,83.93
desta2-8b,both,98.0,16.86,22.19
qwen2audio-7b,both,99.0,8.0,12.64
phi4multimodal,both,99.03,1.53,3.46
voxtral-small-24b,both,99.0,3.74,6.23
spirelm,both,97.5,46.35,51.66
