system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-inf,11.98,11.91
canary-v2,both,-inf,11.57,11.44
owsm4.0-ctc,both,99.06,20.49,20.77
gemma_whisper,both,97.0,7.01,8.86
tower_whisper,both,-inf,7.6,8.71
aya_whisper,both,-inf,7.56,8.34
aya_seamlessm4t,both,-inf,9.35,10.17
gemma_seamlessm4t,both,-inf,9.16,9.75
tower_seamlessm4t,both,,9.24,9.94
aya_canary-v2,both,,8.29,8.69
gemma_canary-v2,both,,8.37,9.02
tower_canary-v2,both,,8.65,9.42
aya_owsm4.0-ctc,both,-inf,13.52,14.65
gemma_owsm4.0-ctc,both,-inf,14.29,16.14
tower_owsm4.0-ctc,both,,99.27,84.6
desta2-8b,both,97.0,17.22,18.5
qwen2audio-7b,both,99.0,9.01,10.35
phi4multimodal,both,98.59,6.91,7.83
voxtral-small-24b,both,,4.52,5.84
spirelm,both,-inf,46.69,49.04
