system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,-inf,13.45,12.31
canary-v2,both,-inf,11.62,11.08
owsm4.0-ctc,both,98.88,17.68,17.25
gemma_whisper,both,-inf,7.52,7.77
tower_whisper,both,-inf,7.59,7.71
aya_whisper,both,-inf,7.71,7.5
aya_seamlessm4t,both,,8.88,9.0
gemma_seamlessm4t,both,99.5,8.59,8.64
tower_seamlessm4t,both,,9.28,9.08
aya_canary-v2,both,-inf,8.09,8.0
gemma_canary-v2,both,-inf,8.08,7.63
tower_canary-v2,both,98.5,7.83,7.76
aya_owsm4.0-ctc,both,-inf,13.92,13.91
gemma_owsm4.0-ctc,both,-inf,14.2,13.8
tower_owsm4.0-ctc,both,,98.36,84.88
desta2-8b,both,99.0,15.73,17.07
qwen2audio-7b,both,99.13,9.39,9.75
phi4multimodal,both,98.87,7.46,8.25
voxtral-small-24b,both,,4.62,5.6
spirelm,both,95.0,46.91,47.35
