system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,101.5,80.57,11.17
canary-v2,both,102.0,78.67,10.3
owsm4.0-ctc,both,101.15,98.69,26.99
gemma_whisper,both,101.67,70.54,8.65
tower_whisper,both,101.75,71.51,8.43
aya_whisper,both,103.0,69.13,7.96
aya_seamlessm4t,both,102.0,69.43,9.04
gemma_seamlessm4t,both,103.0,69.66,9.24
tower_seamlessm4t,both,101.5,71.05,9.79
aya_canary-v2,both,101.0,68.77,8.73
gemma_canary-v2,both,inf,69.26,9.04
tower_canary-v2,both,100.33,70.05,8.46
aya_owsm4.0-ctc,both,101.0,75.86,14.13
gemma_owsm4.0-ctc,both,101.5,77.2,15.46
tower_owsm4.0-ctc,both,100.0,99.62,84.46
desta2-8b,both,100.5,86.05,18.07
qwen2audio-7b,both,100.76,88.18,9.51
phi4multimodal,both,101.03,89.37,5.52
voxtral-small-24b,both,100.75,63.84,5.14
spirelm,both,100.8,92.94,48.14
