system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,right_only,,,
seamlessm4t,both,inf,85.59,14.66
canary-v2,both,101.0,100.0,
owsm4.0-ctc,both,inf,92.26,15.88
gemma_whisper,both,,61.7,7.59
tower_whisper,both,,61.59,7.83
aya_whisper,both,102.0,63.82,8.04
aya_seamlessm4t,both,,63.73,8.5
gemma_seamlessm4t,both,,62.16,10.14
tower_seamlessm4t,both,,62.1,9.22
aya_canary-v2,both,inf,63.17,7.68
gemma_canary-v2,both,,61.79,8.52
tower_canary-v2,both,,59.8,8.44
aya_owsm4.0-ctc,both,inf,67.88,15.0
gemma_owsm4.0-ctc,both,,66.9,14.69
tower_owsm4.0-ctc,both,,99.14,83.45
desta2-8b,both,101.34,96.51,31.25
qwen2audio-7b,both,103.67,76.11,10.81
phi4multimodal,both,101.43,85.06,9.07
voxtral-small-24b,both,,58.27,5.88
spirelm,both,,87.39,46.33
