system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,,77.02,6.78
seamlessm4t,both,inf,74.52,6.37
canary-v2,both,101.0,80.74,5.85
owsm4.0-ctc,both,101.0,94.42,11.66
gemma_whisper,both,,58.54,5.61
tower_whisper,both,inf,55.84,5.77
aya_whisper,both,,55.45,5.57
aya_seamlessm4t,both,,62.67,6.03
gemma_seamlessm4t,both,inf,62.95,6.36
tower_seamlessm4t,both,,64.28,6.11
aya_canary-v2,both,,55.84,6.14
gemma_canary-v2,both,100.0,59.02,6.21
tower_canary-v2,both,inf,56.57,6.28
aya_owsm4.0-ctc,both,101.0,64.28,11.55
gemma_owsm4.0-ctc,both,100.0,69.44,11.71
tower_owsm4.0-ctc,both,inf,100.0,100.0
desta2-8b,both,inf,77.27,16.27
qwen2audio-7b,both,102.5,81.46,11.3
phi4multimodal,both,101.04,75.46,3.58
voxtral-small-24b,both,inf,52.49,3.28
spirelm,right_only,,,
