system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,101.0,84.35,27.15
seamlessm4t,both,inf,80.6,25.12
canary-v2,both,inf,81.81,20.18
owsm4.0-ctc,both,inf,95.62,31.92
gemma_whisper,both,101.5,73.55,23.42
tower_whisper,both,inf,70.8,23.37
aya_whisper,both,101.0,71.83,22.72
aya_seamlessm4t,both,101.5,74.29,24.45
gemma_seamlessm4t,both,101.0,75.96,24.35
tower_seamlessm4t,both,,74.78,24.32
aya_canary-v2,both,101.0,69.77,21.26
gemma_canary-v2,both,100.5,71.85,22.06
tower_canary-v2,both,,69.64,21.91
aya_owsm4.0-ctc,both,,78.97,29.2
gemma_owsm4.0-ctc,both,101.5,80.95,30.39
tower_owsm4.0-ctc,both,inf,100.0,100.0
desta2-8b,both,101.0,89.26,39.79
qwen2audio-7b,both,101.33,86.01,32.0
phi4multimodal,both,101.5,72.05,15.8
voxtral-small-24b,both,102.0,65.87,18.08
spirelm,right_only,,,
