system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,,77.53,5.63
seamlessm4t,both,inf,71.37,6.19
canary-v2,both,,78.98,5.72
owsm4.0-ctc,both,100.4,94.9,12.97
gemma_whisper,both,,57.48,5.35
tower_whisper,both,,55.04,4.3
aya_whisper,both,,55.05,4.45
aya_seamlessm4t,both,101.0,58.61,5.05
gemma_seamlessm4t,both,,61.55,5.09
tower_seamlessm4t,both,,60.09,4.84
aya_canary-v2,both,100.0,57.68,5.5
gemma_canary-v2,both,,60.21,5.42
tower_canary-v2,both,,57.86,5.5
aya_owsm4.0-ctc,both,100.5,64.01,9.34
gemma_owsm4.0-ctc,both,,67.52,9.83
tower_owsm4.0-ctc,both,388.35,100.0,100.0
desta2-8b,both,100.5,81.55,15.89
qwen2audio-7b,both,102.17,80.89,13.22
phi4multimodal,both,101.18,76.5,3.11
voxtral-small-24b,both,100.0,52.75,2.52
spirelm,right_only,,,
