system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,inf,76.8,8.23
seamlessm4t,both,103.0,78.16,8.28
canary-v2,both,inf,79.57,10.67
owsm4.0-ctc,both,111.0,94.44,18.39
gemma_whisper,both,104.67,65.1,9.95
tower_whisper,both,107.0,64.36,9.87
aya_whisper,both,104.67,62.85,9.71
aya_seamlessm4t,both,103.0,70.23,8.34
gemma_seamlessm4t,both,inf,70.24,8.56
tower_seamlessm4t,both,inf,73.69,8.22
aya_canary-v2,both,inf,64.44,11.35
gemma_canary-v2,both,inf,66.34,11.58
tower_canary-v2,both,inf,65.68,11.37
aya_owsm4.0-ctc,both,101.0,71.78,15.2
gemma_owsm4.0-ctc,both,inf,72.29,20.53
tower_owsm4.0-ctc,both,559.56,100.0,100.0
desta2-8b,both,inf,80.75,20.04
qwen2audio-7b,both,101.5,84.2,17.21
phi4multimodal,both,101.5,66.95,4.25
voxtral-small-24b,both,100.0,59.1,3.93
spirelm,right_only,,,
