system,_merge,LinguaPy_diff,QEMetricX_24-Strict-linguapy_diff,XCOMET-QE-Strict-linguapy_diff
whisper,both,101.5,88.28,8.99
seamlessm4t,both,,76.59,5.66
canary-v2,both,100.62,99.78,-77.05
owsm4.0-ctc,both,100.88,99.02,8.08
gemma_whisper,both,101.5,57.58,6.51
tower_whisper,both,103.0,50.85,6.08
aya_whisper,both,101.0,48.49,5.92
aya_seamlessm4t,both,100.75,51.0,5.13
gemma_seamlessm4t,both,101.25,58.9,5.26
tower_seamlessm4t,both,inf,52.14,5.28
aya_canary-v2,both,100.48,98.5,-5.01
gemma_canary-v2,right_only,,,
tower_canary-v2,both,,,
aya_owsm4.0-ctc,both,101.0,63.99,9.56
gemma_owsm4.0-ctc,both,101.0,74.62,10.03
tower_owsm4.0-ctc,both,inf,69.26,9.18
desta2-8b,both,100.17,82.86,14.24
qwen2audio-7b,both,101.0,79.03,1.39
phi4multimodal,both,101.41,78.53,4.48
voxtral-small-24b,both,103.0,72.34,5.85
spirelm,right_only,,,
