system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-0.11600928074245939,66.64096998380121,66.64096998380121,67.43188431430306,67.41785027276889
seamlessm4t,-0.11600928074245939,71.2644594765318,71.2644594765318,71.99567481508076,71.97045515639289
canary-v2,-0.580046403712297,68.02263408000397,67.9102417031463,68.85795353451559,68.69974737282489
owsm4.0-ctc,-1.9721577726218096,36.220104288059154,35.82340158580904,29.148927559155602,28.684285455091647
gemma_whisper,-0.23201856148491878,76.18702048948359,76.18702048948359,74.82286739549892,74.78417604470198
tower_whisper,-0.34802784222737815,76.40533908309627,76.40533908309627,76.0623933527005,76.0112292701573
aya_whisper,-0.23201856148491878,77.83801134722415,77.83801134722415,77.08764671112503,77.0489553603281
aya_seamlessm4t,-0.0,76.221757916591,76.221757916591,75.5388250418889,75.5388250418889
gemma_seamlessm4t,-0.11600928074245939,74.0709724395845,73.98894598672119,72.71817424086089,72.63297686902179
tower_seamlessm4t,-0.0,74.8830800338577,74.8830800338577,74.62975832389499,74.62975832389499
aya_canary-v2,-0.46403712296983757,75.32112799208015,75.10015163164404,74.1701548110927,74.02571597311585
gemma_canary-v2,-0.580046403712297,74.13177410812223,73.94352905393477,72.7808465120186,72.62068985661021
tower_canary-v2,-0.580046403712297,74.34200400362988,74.20203538823293,73.76386629819454,73.60256742210647
aya_owsm4.0-ctc,-0.0,69.35370598743798,69.35370598743798,67.47087652507625,67.47087652507625
gemma_owsm4.0-ctc,-0.46403712296983757,66.60277437416971,66.54349875809697,64.56790765673959,64.49756463276537
tower_owsm4.0-ctc,-100.0,9.696917310391669,0.0,14.923971142887794,0.0
desta2-8b,-1.160092807424594,56.480160252262436,56.06328371160268,49.4275584255114,49.07723255714795
qwen2audio-7b,-3.7122969837587005,62.06282588072,60.43164402771992,56.84064957907471,55.47424226463394
phi4multimodal,-7.308584686774942,78.23052528825548,75.55824191097317,83.39752141697431,76.70880407397473
voxtral-small-24b,-0.0,82.50471008294143,82.50471008294143,81.65315698979211,81.65315698979211
spirelm,,,,,
