system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-0.15600624024961,81.87671262035133,81.74635169714364,86.88644904602614,86.73783085263929
canary-v2,-0.0,81.66006870956019,81.66006870956019,87.04631070079,87.04631070079
owsm4.0-ctc,-0.7800312012480499,51.097043759969765,51.02153328563234,66.93847334817308,66.753475706263
gemma_whisper,-0.46801872074883,88.49617811544637,88.48948473217149,91.35110258428429,91.28451592487961
tower_whisper,-0.46801872074883,88.41327607713046,88.40658269385558,91.55465123503703,91.48806457563235
aya_whisper,-0.46801872074883,88.86389836671293,88.79266413825444,91.4929377842061,91.42040706554924
aya_seamlessm4t,-0.0,88.32698464054214,88.32698464054214,90.8971903546366,90.8971903546366
gemma_seamlessm4t,-0.15600624024961,88.36318524479401,88.36318524479401,90.73659498099231,90.70080321008999
tower_seamlessm4t,-0.0,87.98322523530578,87.98322523530578,90.82318352369734,90.82318352369734
aya_canary-v2,-0.0,88.89148652586104,88.89148652586104,91.95258485243399,91.95258485243399
gemma_canary-v2,-0.0,88.80353612453908,88.80353612453908,91.75431530533268,91.75431530533268
tower_canary-v2,-0.0,88.09628137092973,88.09628137092973,91.73966778933351,91.73966778933351
aya_owsm4.0-ctc,-0.0,82.9648885810617,82.9648885810617,86.58011764659896,86.58011764659896
gemma_owsm4.0-ctc,-0.0,82.83762232573375,82.83762232573375,87.10661456221351,87.10661456221351
tower_owsm4.0-ctc,-0.0,0.6760598002655485,0.6760598002655485,14.255425030606773,14.255425030606773
desta2-8b,-0.15600624024961,75.75231634052514,75.75231634052514,79.99553945665241,79.9725762349023
qwen2audio-7b,-2.3400936037441498,78.47228567509123,77.62326494328875,85.07529301641512,83.16407178335369
phi4multimodal,-24.336973478939157,69.92311207915245,67.52562598012352,92.0695554401127,70.23884376246546
voxtral-small-24b,-0.0,92.9294721264735,92.9294721264735,94.7062064630565,94.7062064630565
spirelm,-0.93603744149766,50.71715972208754,50.41101436500616,50.63173971756386,50.34200489962715
