system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-0.6220839813374806,77.20302691434628,76.6593057410806,81.48652886621318,80.96419606201385
canary-v2,-0.46656298600311047,77.85305469122775,77.4764442601202,81.81937133566032,81.48235264661523
owsm4.0-ctc,-2.488335925349922,41.87401777774698,41.035776040416856,45.75025528877747,44.98176653198659
gemma_whisper,-0.6220839813374806,84.02499247273984,83.86775182871203,85.71339840558974,85.49150829413446
tower_whisper,-0.6220839813374806,83.52837829690421,83.37100610143938,86.14514115647431,85.92188245563263
aya_whisper,-0.3110419906687403,84.24851188740315,84.09802691464661,86.65960756120377,86.48410265335399
aya_seamlessm4t,-0.7776049766718507,83.0554269946428,82.39591090260639,85.03912449879557,84.40972073336782
gemma_seamlessm4t,-0.46656298600311047,83.07143936534507,82.70105930634458,85.2162979276703,84.88280043399908
tower_seamlessm4t,-0.46656298600311047,82.42222204435947,82.04506632697249,85.06118835038382,84.72927939928894
aya_canary-v2,-0.46656298600311047,83.49846324621241,83.06002952193212,86.29436178674594,85.83960506259746
gemma_canary-v2,-0.3110419906687403,83.82300067154189,83.52420967791815,85.71883391467262,85.4117951962755
tower_canary-v2,-0.3110419906687403,82.92193802057955,82.6268237914722,85.92910977054393,85.62439108183419
aya_owsm4.0-ctc,-1.244167962674961,76.22189465007551,75.8257651657654,78.34863659764986,77.83170762887546
gemma_owsm4.0-ctc,-1.088646967340591,76.40686389599952,76.07628977989334,77.38071346241246,77.03122859864176
tower_owsm4.0-ctc,-0.0,0.5796931906028249,0.5796931906028249,14.299338907698637,14.299338907698637
desta2-8b,-0.7776049766718507,70.04214917408363,69.75077965433823,68.75382535287046,68.3626163084622
qwen2audio-7b,-3.1104199066874028,73.62261994027794,72.11731385137207,75.64315192523074,73.15757953262023
phi4multimodal,-12.908242612752721,74.42005672494693,73.08942280211494,87.93804730356759,76.400535677677
voxtral-small-24b,-0.3110419906687403,89.01358000748729,88.7116344338674,90.0870888799568,89.77604688928807
spirelm,-1.088646967340591,42.051234866653225,41.872763083381564,44.14057751558431,43.840822225225104
