system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-0.15625,76.64986438876949,76.63618643409572,79.20698511879891,79.19286163174547
canary-v2,-0.3125,77.36367170629092,77.22706214603969,80.03663397626951,79.86430997494608
owsm4.0-ctc,-2.34375,37.23942818883806,36.43384053055197,37.8096483531408,36.85615717666224
gemma_whisper,-0.46875,84.6979435775429,84.69123973585666,84.78332451893948,84.7144194797147
tower_whisper,-0.3125,84.12471775873564,84.1180139170494,85.26194863545243,85.21686998486985
aya_whisper,-0.3125,84.23125782916323,84.22476805159822,85.41736440965906,85.36220539128408
aya_seamlessm4t,-0.15625,82.8356635199394,82.72419127984904,83.86637747986242,83.79857908235863
gemma_seamlessm4t,-0.3125,83.29186138636433,83.09584311670623,84.16500347666442,84.02486944571137
tower_seamlessm4t,-0.0,82.90824824655428,82.90824824655428,83.97638618946075,83.97638618946075
aya_canary-v2,-0.0,83.65826290464028,83.65826290464028,85.64705152530223,85.64705152530223
gemma_canary-v2,-0.0,83.95207801242358,83.95207801242358,85.22724041366018,85.22724041366018
tower_canary-v2,-0.0,83.3882802685257,83.3882802685257,84.97776418109424,84.97776418109424
aya_owsm4.0-ctc,-0.3125,77.33854956249706,77.30854526381009,78.18025021464564,78.14047647407278
gemma_owsm4.0-ctc,-0.625,76.96605042936281,76.89233082057908,77.22330775402952,77.0801481680246
tower_owsm4.0-ctc,-0.0,0.6541240930557279,0.6541240930557279,14.170587266562507,14.170587266562507
desta2-8b,-0.46875,68.116413923027,67.98632296812721,63.93016481306404,63.78777452744544
qwen2audio-7b,-2.5,70.64519809056074,69.83758704457432,73.08396334585268,70.78257316548843
phi4multimodal,-5.9375,75.54495708597824,74.96986509030685,83.13002576003782,78.03231899044476
voxtral-small-24b,-0.0,89.0566886396613,89.0566886396613,89.62542711175047,89.62542711175047
spirelm,-1.40625,43.78420465355739,43.454571502562615,42.23793187295087,41.7922058457043
