system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,-0.46511627906976744,74.44215747321299,74.14296761030374,80.73723073297924,80.4065550358374
canary-v2,-0.31007751937984496,75.47791360353315,75.25450094342231,81.51826287078303,81.37273134764776
owsm4.0-ctc,-40.0,38.792227843380715,22.545955033265344,42.000179655792174,25.175306177878564
gemma_whisper,-0.7751937984496124,81.68781100331351,81.44907193049904,85.87634952839956,85.59474976603376
tower_whisper,-1.0852713178294573,81.09709560039431,80.71712307079818,85.54601933951525,85.17652390885722
aya_whisper,-0.9302325581395349,82.11664889496427,81.83447471505912,86.36284490541894,86.13813568801842
aya_seamlessm4t,-0.31007751937984496,80.96592353674792,80.80489679648895,85.04608805327453,84.91560462371324
gemma_seamlessm4t,-0.46511627906976744,80.7848384455655,80.53963472358016,85.29017640869748,85.04504347725432
tower_seamlessm4t,-0.46511627906976744,80.31976411402687,79.92518949993821,84.46835997608281,84.09348332258158
aya_canary-v2,-0.31007751937984496,81.29329239106917,81.11682864441428,85.72560731754747,85.5887572987135
gemma_canary-v2,-0.15503875968992248,81.37110772659612,81.25261553803156,85.57441843688026,85.47993710914324
tower_canary-v2,-0.15503875968992248,80.96219862602479,80.8444749658884,85.6430480299994,85.54949731096741
aya_owsm4.0-ctc,-0.31007751937984496,74.75136522553689,74.57666310903637,78.86776345529297,78.77125403504502
gemma_owsm4.0-ctc,-0.46511627906976744,74.1385592395021,73.87883915725604,77.99934901701387,77.74926243133324
tower_owsm4.0-ctc,-0.0,1.3104530985041123,1.3104530985041123,14.214243787203648,14.214243787203648
desta2-8b,-0.31007751937984496,66.89138814127722,66.5980803157008,68.4497093553691,68.14099618168764
qwen2audio-7b,-2.0155038759689923,70.5264543755572,69.63765711160593,76.22187631623459,74.60741522786923
phi4multimodal,-10.542635658914728,70.84893026559851,69.62942337532377,84.77442151700804,75.68808716050414
voxtral-small-24b,-0.46511627906976744,86.93924626264462,86.53249992839126,90.19354057057883,89.83574239898098
spirelm,-0.6201550387596899,39.21905761670697,39.055675355593365,43.26110691467459,43.050980948547064
