system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,-0.0,81.98904820439444,81.98904820439444,82.50390473990082,82.50390473990082
seamlessm4t,-0.11560693641618498,84.48441984350282,84.48441984350282,85.3664522174466,85.34847099829271
canary-v2,-0.0,80.98682197973218,80.98682197973218,79.99036191860375,79.99036191860375
owsm4.0-ctc,-0.23121387283236997,53.72401530467017,53.601840049407386,40.7508958380594,40.658662267045436
gemma_whisper,-0.0,88.5316119050704,88.5316119050704,87.8574178441067,87.8574178441067
tower_whisper,-0.0,89.34555502985255,89.34555502985255,89.49877220426681,89.49877220426681
aya_whisper,-0.0,89.31861550628794,89.31861550628794,89.42457524424343,89.42457524424343
aya_seamlessm4t,-0.23121387283236997,88.63863749393838,88.41096471031277,88.39429824252349,88.1635299781499
gemma_seamlessm4t,-0.0,87.59652524628392,87.59652524628392,87.23250419159845,87.23250419159845
tower_seamlessm4t,-0.0,87.89597480090367,87.89597480090367,88.04994091477697,88.04994091477697
aya_canary-v2,-0.0,88.20290256635302,88.20290256635302,87.74111834047847,87.74111834047847
gemma_canary-v2,-0.0,87.68061112847631,87.68061112847631,87.15631872243274,87.15631872243274
tower_canary-v2,-0.0,87.93238443418734,87.93238443418734,87.7504088785607,87.7504088785607
aya_owsm4.0-ctc,-0.11560693641618498,85.13969401279626,85.02958125310137,83.23028673240215,83.14576295672813
gemma_owsm4.0-ctc,-0.0,83.66852382841827,83.66852382841827,81.3633544941169,81.3633544941169
tower_owsm4.0-ctc,-100.0,1.4937446991143162,0.0,14.707508856333748,0.0
desta2-8b,-0.11560693641618498,75.44834593568923,75.41160578810411,65.4506977449435,65.4400550100328
qwen2audio-7b,-1.5028901734104045,77.71948410472429,77.0162274315178,72.52007484866705,71.61855161792971
phi4multimodal,-5.202312138728324,84.5118300397272,83.83539508732757,90.22278614988217,85.36109463758551
voxtral-small-24b,-0.0,90.81425414650427,90.81425414650427,91.2003586798734,91.2003586798734
spirelm,,,,,
